Gene,Synapse Status,Synapse Percentile,Cortex,Striatum,hiPSC,Fetal,SynGO,SynDB,SynSysNet
A1CF,Not a synapse gene,43.96,0,0,0,0,0,0,0
A4GALT,Not a synapse gene,18.10,0,0,0,0,0,0,0
AACS,Not a synapse gene,34.49,0,0,1,0,0,0,0
AADAC,Not a synapse gene,2.15,0,0,0,0,0,0,0
AADAT,Not a synapse gene,6.44,0,0,0,0,0,0,0
AAGAB,Not a synapse gene,79.52,0,0,1,0,0,0,0
AAMDC,Not a synapse gene,40.67,0,0,0,0,0,0,0
AAMP,Not a synapse gene,70.60,0,0,0,0,0,0,0
AAR2,Not a synapse gene,27.79,0,0,0,0,0,0,0
AARS2,Not a synapse gene,45.41,0,0,1,0,0,0,0
AARSD1,Not a synapse gene,65.90,1,0,1,0,0,0,0
AASDHPPT,Not a synapse gene,83.68,0,0,1,0,0,1,0
AASS,Not a synapse gene,71.11,0,0,1,0,0,0,0
AATK,Not a synapse gene,61.92,0,1,0,0,0,0,0
ABAT,Not a synapse gene,66.35,0,1,0,0,0,0,0
ABCA1,Not a synapse gene,63.58,0,0,1,0,0,0,0
ABCA13,Not a synapse gene,55.12,0,0,0,0,0,0,0
ABCA2,yes,90.71,1,0,0,0,0,0,0
ABCA3,Not a synapse gene,48.59,1,0,1,0,0,0,0
ABCA4,Not a synapse gene,12.02,0,0,0,0,0,0,0
ABCA5,Not a synapse gene,42.06,0,0,0,0,0,0,0
ABCA7,Not a synapse gene,68.30,0,0,0,0,0,0,0
ABCA9,Not a synapse gene,14.51,0,0,0,0,0,0,0
ABCB1,Not a synapse gene,43.48,0,0,0,0,0,1,0
ABCB10,Not a synapse gene,20.48,0,0,1,0,0,0,0
ABCB11,Not a synapse gene,21.32,0,0,0,0,0,0,0
ABCB4,Not a synapse gene,10.67,0,0,0,0,0,0,0
ABCB5,Not a synapse gene,9.89,0,0,0,0,0,0,0
ABCB6,Not a synapse gene,38.35,0,0,0,0,0,0,0
ABCB7,Not a synapse gene,42.67,1,0,1,0,0,0,0
ABCB8,Not a synapse gene,23.88,0,0,0,0,0,1,0
ABCB9,Not a synapse gene,54.41,1,0,0,0,0,0,0
ABCC1,Not a synapse gene,57.72,0,0,1,0,0,0,0
ABCC10,Not a synapse gene,15.78,0,0,0,0,0,0,0
ABCC3,Not a synapse gene,29.70,0,0,0,0,0,0,0
ABCC4,Not a synapse gene,45.67,0,0,0,0,0,0,0
ABCC5,Not a synapse gene,49.66,0,0,0,0,0,0,0
ABCC6,Not a synapse gene,12.69,0,0,0,0,0,0,0
ABCC8,yes,96.39,0,0,0,0,0,0,0
ABCC9,Not a synapse gene,31.15,0,0,0,0,0,0,0
ABCD1,Not a synapse gene,46.78,0,0,0,0,0,0,0
ABCD2,Not a synapse gene,59.73,0,0,0,0,0,0,0
ABCD3,Not a synapse gene,75.13,1,1,1,0,0,1,0
ABCD4,Not a synapse gene,21.34,0,0,0,0,0,0,0
ABCE1,yes,91.45,1,1,1,0,0,0,0
ABCF1,Not a synapse gene,74.77,1,0,1,1,0,0,0
ABCF2,Not a synapse gene,85.00,1,0,1,0,0,0,0
ABCG1,Not a synapse gene,26.62,0,0,0,0,0,0,0
ABCG2,Not a synapse gene,44.40,0,0,0,0,0,0,0
ABCG4,Not a synapse gene,80.56,0,0,0,0,0,0,0
ABCG8,Not a synapse gene,33.70,0,0,0,0,0,0,0
ABHD10,Not a synapse gene,31.92,0,0,1,0,0,0,0
ABHD11,Not a synapse gene,38.68,0,0,0,0,0,0,0
ABHD12,Not a synapse gene,84.94,1,1,1,0,0,0,1
ABHD14B,Not a synapse gene,36.50,0,0,0,0,0,1,0
ABHD3,Not a synapse gene,12.90,0,0,0,0,0,0,0
ABHD4,Not a synapse gene,36.22,0,0,0,0,0,0,0
ABHD5,Not a synapse gene,56.94,0,0,0,0,0,0,0
ABI3,Not a synapse gene,62.46,0,0,0,0,0,0,0
ABL1,yes,99.54,0,0,1,0,1,0,0
ABL2,yes,89.40,1,0,1,0,1,0,0
ABLIM1,yes,94.95,1,1,1,1,0,1,1
ABLIM2,Not a synapse gene,68.40,1,0,1,1,0,1,0
ABLIM3,Not a synapse gene,73.15,1,0,1,0,1,1,0
ABR,yes,97.60,1,0,1,0,1,1,0
ABRA,Not a synapse gene,19.28,0,0,0,0,0,0,0
ABTB1,Not a synapse gene,62.99,0,0,0,0,0,0,0
ABTB2,Not a synapse gene,36.71,0,0,0,0,0,0,0
ACAA1,Not a synapse gene,76.66,0,0,1,0,0,1,0
ACAA2,Not a synapse gene,50.42,1,0,1,0,0,0,0
ACACB,yes,97.13,0,0,0,0,0,0,0
ACAD10,Not a synapse gene,71.87,0,0,0,0,0,0,0
ACAD11,Not a synapse gene,61.82,0,0,0,0,0,0,0
ACAD8,Not a synapse gene,38.15,1,0,1,0,0,0,0
ACAD9,Not a synapse gene,51.18,1,0,1,0,0,0,0
ACADM,Not a synapse gene,68.21,1,1,1,0,0,0,0
ACADSB,Not a synapse gene,61.28,1,0,0,0,0,0,0
ACADVL,yes,90.39,1,1,1,0,0,0,0
ACAN,Not a synapse gene,55.93,0,1,0,0,1,0,0
ACAP1,Not a synapse gene,48.02,0,0,0,0,0,0,0
ACAP2,Not a synapse gene,78.77,1,0,0,0,0,0,0
ACAP3,Not a synapse gene,74.61,0,0,1,0,0,0,0
ACAT1,Not a synapse gene,75.73,1,1,1,1,0,1,0
ACAT2,Not a synapse gene,53.31,1,0,1,1,0,0,0
ACBD3,Not a synapse gene,41.41,0,0,1,0,0,0,0
ACBD5,Not a synapse gene,62.52,1,1,0,0,0,1,0
ACD,Not a synapse gene,64.60,0,0,0,0,0,0,0
ACE,Not a synapse gene,51.06,0,0,0,0,0,0,0
ACHE,Not a synapse gene,75.20,0,0,1,0,1,0,0
ACIN1,Not a synapse gene,87.77,0,0,1,1,0,0,0
ACKR2,Not a synapse gene,36.90,0,0,0,0,0,0,0
ACKR3,Not a synapse gene,48.22,0,0,0,0,0,0,0
ACKR4,Not a synapse gene,21.15,0,0,0,0,0,0,0
ACLY,yes,90.67,1,1,1,1,0,1,0
ACO1,Not a synapse gene,32.45,0,0,1,0,0,0,0
ACO2,Not a synapse gene,82.87,1,1,1,1,0,1,0
ACOT1,Not a synapse gene,12.73,0,0,0,0,0,0,0
ACOT12,Not a synapse gene,23.71,0,0,0,0,0,0,0
ACOT13,Not a synapse gene,56.37,1,0,0,0,0,0,0
ACOT2,Not a synapse gene,17.15,0,0,0,0,0,0,0
ACOT6,Not a synapse gene,16.22,0,0,0,0,0,0,0
ACOT7,yes,94.86,1,0,1,0,0,1,0
ACOT8,Not a synapse gene,69.84,0,0,0,0,0,0,0
ACOX1,Not a synapse gene,23.58,1,0,1,1,0,0,0
ACOX2,Not a synapse gene,12.15,0,0,0,0,0,0,0
ACOX3,Not a synapse gene,18.19,0,0,0,0,0,0,0
ACOXL,Not a synapse gene,28.08,0,0,0,0,0,0,0
ACP1,Not a synapse gene,66.03,0,0,1,0,0,1,0
ACP2,Not a synapse gene,54.44,0,0,1,0,0,0,0
ACP5,Not a synapse gene,43.33,0,0,0,0,0,0,0
ACP6,Not a synapse gene,7.49,0,0,0,0,0,0,0
ACRBP,Not a synapse gene,1.55,0,0,0,0,0,0,0
ACSBG1,Not a synapse gene,50.32,1,0,0,0,0,1,0
ACSBG2,Not a synapse gene,6.31,0,0,0,0,0,0,0
ACSF3,Not a synapse gene,25.53,1,0,1,0,0,0,0
ACSL1,Not a synapse gene,31.75,1,1,1,0,0,0,1
ACSL3,Not a synapse gene,86.02,1,1,1,0,0,1,1
ACSL4,Not a synapse gene,83.46,0,0,1,0,0,0,0
ACSL5,Not a synapse gene,16.20,0,0,0,0,0,0,0
ACSL6,Not a synapse gene,64.18,1,1,0,0,0,1,0
ACSM3,Not a synapse gene,38.09,0,0,0,0,0,0,0
ACSM5,Not a synapse gene,18.46,0,0,0,0,0,0,0
ACSS1,Not a synapse gene,14.57,0,0,0,0,0,0,0
ACSS2,Not a synapse gene,29.79,0,0,1,0,0,0,0
ACTA1,yes,90.54,0,0,0,0,0,1,0
ACTA2,yes,92.73,0,1,1,0,0,1,0
ACTB,Not a synapse gene,77.73,0,1,1,1,1,1,1
ACTG2,Not a synapse gene,50.72,1,1,0,0,0,1,0
ACTL6A,Not a synapse gene,69.09,0,0,1,0,0,0,0
ACTL7B,Not a synapse gene,19.94,0,0,0,0,0,0,0
ACTL8,Not a synapse gene,22.52,0,0,0,0,0,0,0
ACTN1,yes,99.34,1,1,1,1,0,1,1
ACTN4,yes,98.09,1,1,1,1,0,0,0
ACTR10,Not a synapse gene,61.70,1,0,1,1,0,0,0
ACTR1A,Not a synapse gene,73.13,1,0,1,1,0,1,0
ACTR1B,yes,90.26,1,1,1,0,0,1,0
ACTR3,Not a synapse gene,86.39,1,0,1,1,1,1,1
ACTR3B,Not a synapse gene,82.53,1,0,1,0,0,1,0
ACTR3C,Not a synapse gene,16.26,0,0,0,0,0,0,0
ACTR5,Not a synapse gene,10.51,0,0,0,0,0,0,0
ACTR6,Not a synapse gene,52.20,0,0,0,0,0,0,0
ACTR8,Not a synapse gene,3.95,0,0,0,0,0,0,0
ACTRT1,Not a synapse gene,1.65,0,0,0,0,0,0,0
ACVR1,Not a synapse gene,56.05,1,0,1,0,0,0,0
ACVR1B,Not a synapse gene,40.28,0,0,1,0,0,0,0
ACVR2A,Not a synapse gene,36.47,0,0,1,0,0,0,0
ACY1,Not a synapse gene,38.06,0,0,0,0,0,0,0
ADA,Not a synapse gene,32.19,0,0,0,0,0,0,0
ADAD2,Not a synapse gene,36.42,0,0,0,0,0,0,0
ADAM11,yes,92.29,1,0,1,0,0,1,0
ADAM12,Not a synapse gene,65.49,0,0,1,0,0,0,0
ADAM15,Not a synapse gene,80.52,0,0,0,0,0,0,0
ADAM17,Not a synapse gene,56.66,0,0,0,0,0,0,0
ADAM19,Not a synapse gene,63.34,0,0,0,0,0,0,0
ADAM28,Not a synapse gene,11.68,0,0,0,0,0,0,0
ADAM30,Not a synapse gene,19.38,0,0,0,0,0,0,0
ADAM8,Not a synapse gene,26.66,0,0,0,0,0,0,0
ADAM9,Not a synapse gene,74.86,1,0,0,0,0,0,0
ADAMTS1,Not a synapse gene,76.75,0,0,0,0,0,0,0
ADAMTS4,Not a synapse gene,71.92,0,0,0,0,0,0,0
ADAMTS5,Not a synapse gene,61.49,0,0,0,0,0,0,0
ADAMTS9,Not a synapse gene,78.09,0,0,1,0,0,0,0
ADAMTSL1,Not a synapse gene,84.17,0,0,0,0,0,0,0
ADAMTSL3,Not a synapse gene,26.60,0,0,0,0,0,0,0
ADAMTSL4,Not a synapse gene,79.58,0,0,0,0,0,0,0
ADAP1,Not a synapse gene,77.71,0,0,0,0,0,0,0
ADAP2,Not a synapse gene,35.34,0,0,0,0,0,0,0
ADAR,Not a synapse gene,78.03,0,0,1,1,0,1,0
ADARB1,Not a synapse gene,52.78,0,0,0,0,0,0,0
ADARB2,Not a synapse gene,54.51,0,0,0,0,0,0,0
ADAT3,Not a synapse gene,15.52,0,0,0,0,0,0,0
ADCY2,Not a synapse gene,86.50,1,0,0,0,0,0,1
ADCY3,Not a synapse gene,56.30,0,0,0,0,0,0,1
ADCY4,Not a synapse gene,22.94,0,0,1,0,0,0,1
ADCY5,Not a synapse gene,49.34,1,1,0,0,0,0,1
ADCY6,Not a synapse gene,32.08,1,1,0,0,0,0,0
ADCY7,Not a synapse gene,25.10,0,0,0,0,0,0,0
ADCY9,Not a synapse gene,39.06,1,1,1,0,0,0,1
ADCYAP1R1,yes,91.13,1,0,0,0,0,0,0
ADH1A,Not a synapse gene,11.30,0,0,0,0,0,0,0
ADH1B,Not a synapse gene,29.24,0,0,0,0,0,0,0
ADH4,Not a synapse gene,15.34,0,0,0,0,0,0,0
ADH5,Not a synapse gene,34.78,0,0,1,0,0,0,0
ADH7,Not a synapse gene,16.97,0,0,0,0,0,0,0
ADHFE1,Not a synapse gene,11.24,0,0,0,0,0,0,0
ADI1,Not a synapse gene,17.01,0,0,0,0,0,0,0
ADIPOR1,Not a synapse gene,42.64,0,0,0,0,0,0,0
ADIPOR2,Not a synapse gene,67.71,0,0,0,0,0,0,0
ADK,Not a synapse gene,44.76,0,0,1,0,0,0,0
ADM,Not a synapse gene,6.67,0,0,0,0,0,0,0
ADNP,Not a synapse gene,62.69,0,0,0,0,0,0,0
ADO,Not a synapse gene,13.28,1,1,0,0,0,0,0
ADORA2A,Not a synapse gene,22.72,0,0,0,0,1,0,1
ADPRH,Not a synapse gene,12.05,0,0,0,0,0,0,0
ADRA1A,Not a synapse gene,42.42,0,0,0,0,1,0,1
ADRA1B,Not a synapse gene,71.48,0,0,0,0,0,0,0
ADRA2C,Not a synapse gene,63.08,0,0,0,0,1,0,0
ADRB1,Not a synapse gene,76.03,0,0,0,0,0,0,0
ADRB2,yes,93.52,0,0,0,0,1,0,1
ADRM1,Not a synapse gene,82.12,0,1,1,1,0,0,0
ADSL,Not a synapse gene,50.37,1,0,1,0,0,0,0
AEBP1,Not a synapse gene,65.04,0,0,0,0,0,0,0
AEN,Not a synapse gene,30.40,0,0,0,0,0,0,0
AFAP1,Not a synapse gene,53.11,1,0,1,1,0,0,0
AFAP1L1,Not a synapse gene,7.40,0,0,0,0,0,0,0
AFAP1L2,Not a synapse gene,34.69,0,0,0,0,0,0,0
AFF2,Not a synapse gene,74.53,0,0,0,0,0,0,0
AFF3,Not a synapse gene,21.18,0,0,0,0,0,0,0
AFF4,Not a synapse gene,68.38,0,0,0,0,0,0,0
AFG3L2,Not a synapse gene,74.56,1,1,1,0,0,1,0
AFP,Not a synapse gene,10.79,0,0,0,1,0,0,0
AFTPH,Not a synapse gene,30.20,0,0,0,0,0,0,0
AGA,Not a synapse gene,39.09,0,0,0,0,0,0,0
