Gene,Average_Score,Classification,Cortex,Striatum,hiPSC,Fetal,SynGO,GO Synapse,SynDB,SynSysNet
A1CF,4.448642921983409,Negative,0,0,0,0,0,0,0,0
A2M,4.560899572976166,Negative,0,0,0,0,0,0,0,0
A4GALT,4.1731337214725714,Negative,0,0,0,0,0,0,0,0
AAAS,4.317764216030739,Negative,0,0,0,0,0,0,0,0
AACS,4.401517418155833,Negative,0,0,1,0,0,0,0,0
AADAC,4.228278253315083,Negative,0,0,0,0,0,0,0,0
AADAT,4.175385098111833,Negative,0,0,0,0,0,0,0,0
AAGAB,4.1944852241973685,Negative,0,0,1,0,0,0,0,0
AAMDC,4.3719079195241655,Negative,0,0,0,0,0,0,0,0
AAMP,4.172238264468142,Negative,0,0,0,0,0,0,0,0
AAR2,4.386758783507166,Negative,0,0,0,0,0,0,0,0
AARS2,4.275641122301334,Negative,0,0,1,0,0,0,0,0
AARSD1,4.1657543618125,Negative,1,0,1,0,0,0,0,0
AASDHPPT,4.642986327564,Negative,0,0,1,0,0,0,1,0
AASS,4.3447806058435,Negative,0,0,1,0,0,0,0,0
AATK,4.217385339614527,Negative,0,1,0,0,0,0,0,0
ABAT,4.39710698531625,Negative,0,1,0,0,0,0,0,0
ABCA1,4.489872000259369,Negative,0,0,1,0,0,0,0,0
ABCA10,4.108379506281535,Negative,0,0,0,0,0,0,0,0
ABCA13,4.909354461182749,EnSig,0,0,0,0,0,0,0,0
ABCA2,4.641380736836999,Negative,1,0,0,0,0,0,0,0
ABCA3,4.458079566892202,Negative,1,0,1,0,0,0,0,0
ABCA4,4.532563057122207,Negative,0,0,0,0,0,0,0,0
ABCA5,4.130474195942642,Negative,0,0,0,0,0,0,0,0
ABCA6,4.274064536708404,Negative,0,0,0,0,0,0,0,0
ABCA7,4.303815322609,Negative,0,0,0,0,0,0,0,0
ABCA9,4.348130816982667,Negative,0,0,0,0,0,0,0,0
ABCB1,4.222455132317261,Negative,0,0,0,0,0,0,1,0
ABCB10,4.380449328605908,Negative,0,0,1,0,0,0,0,0
ABCB11,4.494758187862499,Negative,0,0,0,0,0,0,0,0
ABCB4,4.445682430954666,Negative,0,0,0,0,0,0,0,0
ABCB5,4.001106902676285,Negative,0,0,0,0,0,0,0,0
ABCB6,4.159123994399335,Negative,0,0,0,0,0,0,0,0
ABCB7,4.198043460685833,Negative,1,0,1,0,0,0,0,0
ABCB8,3.9995360836901663,Negative,0,0,0,0,0,0,1,0
ABCB9,4.4205911731535,Negative,1,0,0,0,0,0,0,0
ABCC1,4.078901385794626,Negative,0,0,1,0,0,0,0,0
ABCC10,4.07760602268825,Negative,0,0,0,0,0,0,0,0
ABCC2,4.228249198831499,Negative,0,0,0,0,0,0,0,0
ABCC3,3.969575646805388,Negative,0,0,0,0,0,0,0,0
ABCC4,4.505807974573832,Negative,0,0,0,0,0,0,0,0
ABCC5,3.99773648472475,Negative,0,0,0,0,0,0,0,0
ABCC6,4.120305700416451,Negative,0,0,0,0,0,0,0,0
ABCC8,4.957224666545999,EnSig,0,0,0,0,0,1,0,0
ABCC9,4.443412493837999,Negative,0,0,0,0,0,0,0,0
ABCD1,4.321995955662702,Negative,0,0,0,0,0,0,0,0
ABCD2,4.278271813844742,Negative,0,0,0,0,0,0,0,0
ABCD3,4.3966373390625,Negative,1,1,1,0,0,0,1,0
ABCD4,4.122030909724,Negative,0,0,0,0,0,0,0,0
ABCE1,4.5317772686266675,Negative,1,1,1,0,0,0,0,0
ABCF1,4.802748905898999,EnSig,1,0,1,1,0,0,0,0
ABCF2,4.314256320890166,Negative,1,0,1,0,0,0,0,0
ABCG2,4.388949740079998,Negative,0,0,0,0,0,0,0,0
ABCG4,4.321455374128388,Negative,0,0,0,0,0,0,0,0
ABCG5,4.39269336191325,Negative,0,0,0,0,0,0,0,0
ABCG8,4.391735963320167,Negative,0,0,0,0,0,0,0,0
ABHD10,4.6038701065778325,Negative,0,0,1,0,0,0,0,0
ABHD11,4.239134456658083,Negative,0,0,0,0,0,0,0,0
ABHD12,4.5308036153629985,Negative,1,1,1,0,0,0,0,1
ABHD14B,4.438665581251833,Negative,0,0,0,0,0,0,1,0
ABHD17A,4.327654573531,Negative,0,0,0,0,1,1,0,0
ABHD17B,4.5817293741473035,Negative,0,0,0,0,1,1,0,0
ABHD3,4.128192656430167,Negative,0,0,0,0,0,0,0,0
ABHD4,4.506917560518762,Negative,0,0,0,0,0,0,0,0
ABI3,4.4719263357905,Negative,0,0,0,0,1,0,0,0
ABL1,4.834799655272038,EnSig,0,0,1,0,1,1,0,0
ABL2,4.5157095176345,Negative,1,0,1,0,1,0,0,0
ABLIM1,4.5976632412204514,Negative,1,1,1,1,0,0,1,1
ABLIM2,4.343088448662166,Negative,1,0,1,1,0,0,1,0
ABLIM3,4.4519594711354005,Negative,1,0,1,0,1,1,1,0
ABR,5.107851514016499,EnSig,1,0,1,0,1,1,1,0
ABRA,4.1438164996572615,Negative,0,0,0,0,0,0,0,0
ABTB1,4.005407222645916,Negative,0,0,0,0,0,0,0,0
ABTB2,4.3375957147097495,Negative,0,0,0,0,0,0,0,0
ACAA1,4.0839413913781675,Negative,0,0,1,0,0,0,1,0
ACAA2,4.401791146262666,Negative,1,0,1,0,0,0,0,0
ACACB,4.739714385463666,EnSig,0,0,0,0,0,0,0,0
ACAD10,4.5956123305719165,Negative,0,0,0,0,0,0,0,0
ACAD11,4.327993578223611,Negative,0,0,0,0,0,0,0,0
ACAD8,4.140490994103001,Negative,1,0,1,0,0,0,0,0
ACAD9,4.0602674018138325,Negative,1,0,1,0,0,0,0,0
ACADM,3.9771276038796657,Negative,1,1,1,0,0,0,0,0
ACADSB,4.439188530331166,Negative,1,0,0,0,0,0,0,0
ACADVL,4.291461715716666,Negative,1,1,1,0,0,0,0,0
ACAN,4.590501730285999,Negative,0,1,0,0,1,1,0,0
ACAP1,4.4139555659225,Negative,0,0,0,0,0,0,0,0
ACAP2,4.585066813666168,Negative,1,0,0,0,0,0,0,0
ACAP3,4.692227429008749,EnSig,0,0,1,0,0,0,0,0
ACAT1,4.316288917815333,Negative,1,1,1,1,0,0,1,0
ACAT2,4.266831363512499,Negative,1,0,1,1,0,0,0,0
ACBD3,4.2917336731584985,Negative,0,0,1,0,0,0,0,0
ACBD5,4.354366329908833,Negative,1,1,0,0,0,0,1,0
ACD,4.408970886493619,Negative,0,0,0,0,0,0,0,0
ACE,4.525521501165499,Negative,0,0,0,0,0,0,0,0
ACHE,4.313039206521078,Negative,0,0,1,0,1,1,0,0
ACIN1,4.454714986294902,Negative,0,0,1,1,0,0,0,0
ACKR2,4.324300292125333,Negative,0,0,0,0,0,0,0,0
ACKR3,4.422488833479166,Negative,0,0,0,0,0,0,0,0
ACKR4,4.4070284485317215,Negative,0,0,0,0,0,0,0,0
