Index,Gene,Known Functions,Signaling,Transport,Organization,Metabolism,Development
0,LAGE3,"['protein binding', 'nuclear body', 'tRNA processing', 'cytoplasm', 'EKC/KEOPS complex']",0,0,0,2,0
1,KIF5C,"['anterograde dendritic transport of neurotransmitter receptor complex', 'motor neuron axon guidance', 'microtubule binding', 'synaptic vesicle transport', 'anterograde axonal protein transport', 'ATP-dependent microtubule motor activity, plus-end-directed', 'microtubule', 'ATP binding', 'neuronal cell body', 'synapse', 'axon cytoplasm', 'dendrite cytoplasm', 'axonal growth cone', 'mRNA transport', 'organelle organization', 'ciliary rootlet', 'kinesin complex']",1,1,2,1,0
2,ARFGAP2,"['protein transport', 'Golgi membrane', 'cytosol', 'metal ion binding', 'plasma membrane', 'GTPase activator activity', 'COPI vesicle coat', 'COPI coating of Golgi vesicle', 'retrograde vesicle-mediated transport, Golgi to endoplasmic reticulum', 'endoplasmic reticulum to Golgi vesicle-mediated transport', 'trans-Golgi network', 'positive regulation of GTPase activity']",0,1,0,1,0
3,PTPN4,"['non-membrane spanning protein tyrosine phosphatase activity', 'cytosol', 'nucleoplasm', 'cytoskeletal protein binding', 'peptidyl-tyrosine dephosphorylation', 'cytoskeleton', 'cytoplasmic side of plasma membrane', 'cellular response to cytokine stimulus']",2,0,1,1,0
4,SLC24A2,"['protein dimerization activity', 'long-term synaptic potentiation', 'visual perception', 'learning', 'potassium ion transport', 'calcium channel activity', 'symporter activity', 'sodium ion transmembrane transport', 'calcium ion transmembrane transport', 'response to stimulus', 'integral component of plasma membrane', 'memory', 'calcium, potassium:sodium antiporter activity', 'cellular calcium ion homeostasis', 'long-term synaptic depression']",2,1,0,0,0
5,RASA1,"['ephrin receptor signaling pathway', 'cytosol', 'vasculogenesis', 'mitotic cytokinesis', 'GTPase activity', 'regulation of cell shape', 'ruffle', 'negative regulation of cell-matrix adhesion', 'negative regulation of neuron apoptotic process', 'MAPK cascade', 'plasma membrane', 'signaling receptor binding', 'phosphotyrosine residue binding', 'GTPase activator activity', 'regulation of actin filament polymerization', 'regulation of RNA metabolic process', 'potassium channel inhibitor activity', 'GTPase binding', 'positive regulation of GTPase activity', 'negative regulation of Ras protein signal transduction']",2,0,1,4,1
6,DST,"['cytosol', 'Z disc', 'integral component of membrane', 'maintenance of cell polarity', 'integrin binding', 'axon cytoplasm', 'protein C-terminus binding', 'endoplasmic reticulum membrane', 'calcium ion binding', 'cell motility', 'cell adhesion', 'cytoplasmic microtubule organization', 'basement membrane', 'actin binding', 'H zone', 'hemidesmosome', 'basal plasma membrane', 'intermediate filament cytoskeleton organization', 'retrograde axonal transport', 'nuclear envelope', 'cytoplasmic vesicle', 'microtubule plus-end', 'intermediate filament', 'focal adhesion', 'integrin-mediated signaling pathway', 'wound healing', 'structural molecule activity', 'cell leading edge', 'hemidesmosome assembly', 'microtubule plus-end binding', 'cell cortex']",2,1,5,1,0
7,LRFN4,"['protein binding', 'regulation of postsynaptic density assembly', 'GABA-ergic synapse', 'integral component of postsynaptic density membrane', 'regulation of presynapse assembly', 'glutamatergic synapse', 'cell surface', 'synaptic membrane adhesion']",0,0,2,1,0
8,KCNQ5,"['voltage-gated potassium channel complex', 'potassium ion transmembrane transport', 'regulation of ion transmembrane transport', 'delayed rectifier potassium channel activity', 'calmodulin binding', 'clathrin coat']",0,1,0,1,0
9,NPY2R,"['non-motile cilium', 'negative regulation of feeding behavior', 'peptide YY receptor activity', 'positive regulation of peptide secretion', 'positive regulation of dopamine secretion', 'locomotory behavior', 'positive regulation of cell-substrate adhesion', 'negative regulation of synaptic transmission, glutamatergic', 'positive regulation of smooth muscle contraction', 'regulation of sensory perception of pain', 'cardiac left ventricle morphogenesis', 'positive regulation of cytosolic calcium ion concentration', 'integral component of plasma membrane', 'aging', 'protein binding', 'neuropeptide signaling pathway', 'negative regulation of secretion', 'calcium channel regulator activity', 'nitric oxide mediated signal transduction', 'behavioral fear response', 'negative regulation of cAMP-mediated signaling', 'outflow tract morphogenesis', 'negative regulation of excitatory postsynaptic potential', 'adenylate cyclase-inhibiting G protein-coupled receptor signaling pathway', 'positive regulation of circadian sleep/wake cycle, non-REM sleep']",4,0,1,1,1
