genes,Synonym
APP,"['alpha-sAPP', 'AD1']"
HSP90AB1,"['HSPCB', 'HSPC2']"
HSPA8,"['HSPA10', 'HSC70', 'HSP73', 'HSC71']"
EGFR,"['ERBB', 'ERBB1', 'ERRP']"
TP53,"['LFS1', 'p53']"
HSP90AA1,"['HSPCA', 'HSPC1', 'Hsp89', 'FLJ31884', 'HSP90N', 'Hsp90']"
SMARCA2,"['BAF190', 'SNF2LA', 'SNF2', 'SNF2L2', 'Sth1p', 'SWI2', 'hBRM', 'BRM', 'hSNF2a']"
EP300,"['p300', 'KAT3B']"
ANK2,"['FAP87', 'LQT4', 'CFAP87']"
BRCA1,"['BRCC1', 'RNF53', 'PPP1R53', 'FANCS']"
XPO1,"['CRM1', 'emb', 'CRM-1']"
MCM2,"['CCNL1', 'cdc19', 'KIAA0030', 'CDCL1', 'DFNA70', 'D3S3194', 'BM28']"
ESR1,"['ER-alpha', 'ESR', 'NR3A1', 'Era']"
PKM,"['PKM2', 'PK3', 'OIP3', 'THBP1']"
CREBBP,"['RSTS', 'KAT3A', 'RTS', 'CBP']"
EEF1A1,"['EEF1A', 'LENG7', 'EF1alpha1', 'EE1A1', 'EF1A1', 'EF1A']"
SMARCA4,"['FLJ39786', 'hSNF2b', 'SNF2LB', 'SNF2L4', 'SNF2-BETA', 'SWI2', 'SNF2', 'BAF190', 'BRG1']"
LRRK2,"['DKFZp434H2111', 'FLJ45829', 'PARK8', 'RIPK7', 'ROCO2']"
HERC2,"['D15F37S1', 'jdf2', 'p528']"
UBC,[nan]
GNAS,"['SCG6', 'GNASXL', 'NESP55', 'NESP', 'GPSA', 'GNAS1', 'SgVI']"
YWHAZ,"['YWHAD', 'KCIP-1', '14-3-3-zeta']"
MYC,"['bHLHe39', 'c-Myc', 'MYCC']"
GABARAPL2,"['ATG8C', 'GEF2', 'GATE16', 'ATG8', 'GATE-16']"
CUL3,[nan]
ITPR1,"['IP3R1', 'SCA16', 'Insp3r1', 'ACV', 'PPP1R94', 'SCA15', 'SCA29']"
