genes,Synapse Percentile
A1CF,43.955282944202615
A4GALT,18.104471705579737
AACS,34.48753462603878
AADAC,2.146814404432133
AADAT,6.440443213296399
AAGAB,79.5211713494262
AAMDC,40.67075583696082
AAMP,70.5975464978235
AAR2,27.789869410368027
AARS2,45.40957657301148
AARSD1,65.89829837752275
AASDHPPT,83.6762960031658
AASS,71.11199050257223
AATK,61.9212504946577
ABAT,66.35338345864662
ABCA1,63.58330035615354
ABCA13,55.124653739612185
ABCA2,90.71032845271073
ABCA3,48.58527898694104
ABCA4,12.02018203403245
ABCA5,42.05579738820736
ABCA7,68.30233478432925
ABCA9,14.513256826276216
ABCB1,43.4804115552038
ABCB10,20.478828650573803
ABCB11,21.3197467352592
ABCB4,10.674713098535811
ABCB5,9.893153937475269
ABCB6,38.34586466165413
ABCB7,42.66917293233082
ABCB8,23.88207360506529
ABCB9,54.41234665611397
ABCC1,57.71666007123071
ABCC10,15.779580530273051
ABCC3,29.69924812030075
ABCC4,45.66679857538583
ABCC5,49.66363276612584
ABCC6,12.692916501780768
ABCC8,96.38899881282153
ABCC9,31.153541749109618
ABCD1,46.78472497032054
ABCD2,59.73486347447566
ABCD3,75.12861100118718
ABCD4,21.33953304313415
ABCE1,91.45231499802136
ABCF1,74.77245745943807
ABCF2,85.00197863078749
ABCG1,26.622477245745944
ABCG2,44.400474871389
ABCG4,80.5599525128611
ABCG8,33.69608231104076
ABHD10,31.91531460229521
ABHD11,38.6822318955283
ABHD12,84.94261970716265
ABHD14B,36.49584487534626
ABHD3,12.900672734467747
ABHD4,36.21883656509695
ABHD5,56.93510091017016
ABI3,62.45548080728136
ABL1,99.53502176493866
ABL2,89.40443213296399
ABLIM1,94.9544914918876
ABLIM2,68.401266323704
ABLIM3,73.14998021369213
ABR,97.59596359319352
ABRA,19.281757024139296
ABTB1,62.989711119905024
ABTB2,36.71349426197072
ACAA1,76.66204986149584
ACAA2,50.41551246537396
ACACB,97.13098535813218
ACAD10,71.87376335575782
ACAD11,61.82231895528295
ACAD8,38.14800158290463
ACAD9,51.17728531855956
ACADM,68.21329639889197
ACADSB,61.278195488721806
ACADVL,90.39374752671152
ACAN,55.92599920854769
ACAP1,48.02136921250494
ACAP2,78.76929165017808
ACAP3,74.61416699643847
ACAT1,75.73209339137317
ACAT2,53.31420656905421
ACBD3,41.41274238227147
ACBD5,62.52473288484369
ACD,64.6022952117135
ACE,51.05856747130986
ACHE,75.1978630787495
ACIN1,87.77206173328057
ACKR2,36.901464186782746
ACKR3,48.21923229125445
ACKR4,21.15156311832212
ACLY,90.67075583696082
ACO1,32.449544914918874
ACO2,82.86505738029284
ACOT1,12.732489117530667
ACOT12,23.713889988128216
ACOT13,56.37119113573407
ACOT2,17.154728927582113
ACOT6,16.224772457459437
ACOT7,94.85555995251286
ACOT8,69.83577364463791
ACOX1,23.57538583300356
ACOX2,12.148793035219628
ACOX3,18.193510091017018
ACOXL,28.076770874554807
ACP1,66.02690937870993
ACP2,54.4420261179264
ACP5,43.33201424614167
ACP6,7.489117530668778
ACRBP,1.5532251681836169
ACSBG1,50.31658092599921
ACSBG2,6.311832212109221
ACSF3,25.534230312623663
ACSL1,31.747130985358133
ACSL3,86.02097348634744
ACSL4,83.45864661654136
ACSL5,16.195092995647013
ACSL6,64.17688959240206
ACSM3,38.08864265927978
ACSM5,18.46062524732885
ACSS1,14.572615749901068
ACSS2,29.78828650573803
ACTA1,90.54214483577364
ACTA2,92.72853185595568
ACTB,77.73051048674317
ACTG2,50.72220023743569
ACTL6A,69.09378709932727
ACTL7B,19.94459833795014
ACTL8,22.51681836169371
ACTN1,99.33715868618916
ACTN4,98.09062129006728
ACTR10,61.70360110803324
ACTR1A,73.13019390581718
ACTR1B,90.25524337158686
ACTR3,86.38702018203404
ACTR3B,82.52869014641868
ACTR3C,16.264345073209338
ACTR5,10.506529481598731
ACTR6,52.19628017411951
ACTR8,3.947368421052632
ACTRT1,1.6521567075583696
ACVR1,56.05461020973486
ACVR1B,40.284922833399285
ACVR2A,36.46616541353384
ACY1,38.05896319746735
ADA,32.19232291254452
ADAD2,36.41669964384646
ADAM11,92.29323308270676
ADAM12,65.49267906608627
ADAM15,80.5203798971112
ADAM17,56.658092599920856
ADAM19,63.33597150771666
ADAM28,11.68381480015829
ADAM30,19.38068856351405
ADAM8,26.662049861495845
ADAM9,74.86149584487535
ADAMTS1,76.75108824693312
ADAMTS4,71.92322912544519
ADAMTS5,61.48595172140878
ADAMTS9,78.08666402849228
ADAMTSL1,84.17095370003958
ADAMTSL3,26.602690937870992
ADAMTSL4,79.58053027305105
ADAP1,77.71072417886822
ADAP2,35.338345864661655
ADAR,78.02730510486744
ADARB1,52.77997625643055
ADARB2,54.51127819548872
ADAT3,15.522358527898694
ADCY2,86.49584487534626
ADCY3,56.30193905817175
ADCY4,22.942223981005142
ADCY5,49.33715868618916
ADCY6,32.08349821923229
ADCY7,25.09893153937476
ADCY9,39.05817174515236
ADCYAP1R1,91.12584091808468
ADH1A,11.297981796596757
ADH1B,29.24416303917689
ADH4,15.34428175702414
ADH5,34.78432924416304
ADH7,16.966759002770083
ADHFE1,11.238622872971904
ADI1,17.006331618519983
ADIPOR1,42.6394934705184
ADIPOR2,67.70874554808073
ADK,44.75662841313811
ADM,6.66798575385833
ADNP,62.692916501780765
ADO,13.276612584091808
ADORA2A,22.724574594380687
ADPRH,12.049861495844876
ADRA1A,42.42184408389394
ADRA1B,71.4780371982588
ADRA2C,63.0787495053423
ADRB1,76.02888800949742
ADRB2,93.5199841709537
ADRM1,82.12307083498219
ADSL,50.366046695686585
AEBP1,65.0375939849624
AEN,30.401662049861496
AFAP1,53.10645033636723
AFAP1L1,7.4000791452315
AFAP1L2,34.685397704788286
AFF2,74.5251286110012
AFF3,21.181242580134548
AFF4,68.38148001582904
AFG3L2,74.56470122675108
AFP,10.793430945785516
AFTPH,30.20379897111199
AGA,39.08785120696478
AGAP1,95.38979026513653
AGAP2,95.98337950138504
AGAP4,3.9077958053027295
AGBL5,17.93628808864266
AGFG1,63.34586466165413
AGGF1,49.81203007518797
AGL,85.2394143252869
AGMAT,34.29956470122675
AGO1,96.3197467352592
AGO2,98.46656113969134
AGO3,95.72615749901068
AGO4,90.85872576177286
AGPAT1,52.8789077958053
AGPAT2,28.571428571428573
AGPAT3,60.63514048278592
AGPAT4,73.67431737237831
AGPAT5,33.64661654135338
AGPS,84.95251286110012
AGR2,33.08270676691729
AGTR2,28.17570241392956
AGTRAP,69.96438464582509
AGXT,18.24297586070439
AHCTF1,83.75544123466561
AHCY,71.5967550455085
AHCYL1,89.89908982983775
AHCYL2,66.72932330827068
AHI1,72.28927582113178
AHNAK,89.46379105658885
AHRR,28.31420656905421
AHSA1,95.99327265532251
AHSG,44.31143648595173
AIDA,27.57222002374357
AIFM1,94.01464186782746
AIFM3,55.08508112386229
AIM2,58.05302730510487
AIMP1,57.97388207360507
AIP,73.37752275425406
AIRE,80.8765334388603
AJAP1,84.84368816778789
AJUBA,43.094578551642265
AK1,46.853977047882864
AK2,53.63078749505343
AK3,30.085081123862288
AK4,46.75504550850811
AK5,81.43055005935892
AK6,18.57934309457855
