Index,Gene,Known Functions,Signaling,Transport,Organization,Metabolism,Development
0,GRIA1,"['neurotransmitter receptor activity involved in regulation of postsynaptic cytosolic calcium ion concentration', 'PDZ domain binding', 'synaptic vesicle', 'long-term memory', 'regulation of postsynaptic cytosolic calcium ion concentration', 'integral component of postsynaptic density membrane', 'long-term synaptic depression', 'transmitter-gated ion channel activity involved in regulation of postsynaptic membrane potential', 'axonal spine', 'COPII vesicle coating', 'receptor internalization', 'cell surface', 'glutamatergic synapse', 'regulation of NMDA receptor activity', 'cell junction', 'endocytic vesicle membrane', 'early endosome membrane', 'endoplasmic reticulum membrane', 'AMPA glutamate receptor activity', 'Golgi membrane', 'endoplasmic reticulum-Golgi intermediate compartment membrane', 'dendritic spine membrane', 'recycling endosome membrane', 'amyloid-beta binding', 'dendritic spine', 'regulation of postsynaptic membrane potential', 'AMPA glutamate receptor complex', 'ER to Golgi transport vesicle membrane', 'ionotropic glutamate receptor signaling pathway', 'neuronal cell body']",3,1,1,1,0
1,DBN1,"['growth cone', 'dendrite', 'cytoplasmic sequestering of protein', 'postsynaptic membrane', 'postsynaptic cytosol', 'cadherin binding', 'cell communication by electrical coupling', 'actomyosin', 'glutamatergic synapse', 'positive regulation of receptor localization to synapse', 'actin filament organization', 'positive regulation of synaptic plasticity', 'cortical cytoskeleton', 'positive regulation of dendritic spine morphogenesis', 'maintenance of protein location in cell', 'postsynaptic density', 'actin binding', 'regulation of neuronal synaptic plasticity', 'gap junction', 'neural precursor cell proliferation', 'profilin binding', 'cell communication by chemical coupling']",0,1,3,1,2
2,CAP2,"['plasma membrane', 'activation of adenylate cyclase activity', 'actin polymerization or depolymerization', 'cell morphogenesis', 'signal transduction', 'actin binding', 'postsynaptic density', 'adenylate cyclase binding', 'identical protein binding', 'cortical actin cytoskeleton', 'establishment or maintenance of cell polarity']",2,0,1,1,1
3,CDC42,"['interleukin-12-mediated signaling pathway', 'regulation of attachment of spindle microtubules to kinetochore', 'positive regulation of lamellipodium assembly', 'plasma membrane', 'positive regulation of substrate adhesion-dependent cell spreading', 'ephrin receptor signaling pathway', 'GTP binding', 'cell cortex', 'identical protein binding', 'cell junction assembly', 'spindle midzone', 'organelle transport along microtubule', 'Golgi organization', 'filopodium', 'establishment of Golgi localization', 'focal adhesion', 'positive regulation of muscle cell differentiation', 'integrin-mediated signaling pathway', 'modification of synaptic structure', 'Wnt signaling pathway, planar cell polarity pathway', 'viral RNA genome replication', 'cytosol', 'protein ubiquitination', 'substantia nigra development', 'dendritic spine morphogenesis', 'neuropilin signaling pathway', 'blood coagulation', 'phagocytosis, engulfment', 'positive regulation of pseudopodium assembly', 'GBD domain binding', 'GTPase activity', 'endoplasmic reticulum membrane', 'Golgi transport complex', 'vascular endothelial growth factor receptor signaling pathway', 'Golgi membrane', 'Cdc42 protein signal transduction', 'regulation of cell shape', 'centrosome', 'cytoplasmic ribonucleoprotein granule', 'T cell costimulation', 'dendritic spine', 'midbody', 'positive regulation of stress fiber assembly', 'ubiquitin protein ligase activity', 'positive regulation of cell growth', 'establishment of epithelial cell apical/basal polarity', 'regulation of small GTPase mediated signal transduction', 'protein kinase binding', 'extracellular exosome', 'Fc-gamma receptor signaling pathway involved in phagocytosis', 'negative regulation of epidermal growth factor receptor signaling pathway', 'positive regulation of filopodium assembly', 'positive regulation of actin cytoskeleton reorganization', 'apolipoprotein A-I receptor binding', 'positive regulation of cytokinesis', 'neuronal cell body', 'macrophage differentiation', 'mitotic spindle', 'negative regulation of protein complex assembly', 'thioesterase binding']",2,2,6,2,3
4,RAB3C,"['perinuclear region of cytoplasm', 'GTPase activity', 'intracellular protein transport', 'Rab protein signal transduction', 'anchored component of synaptic vesicle membrane', 'GTP-dependent protein binding', 'plasma membrane', 'protein localization to plasma membrane', 'protein secretion', 'myosin V binding', 'cytosol', 'antigen processing and presentation', 'GTP binding', 'endosome', 'regulation of exocytosis', 'vesicle docking involved in exocytosis']",2,2,0,2,0
5,LRRTM1,"['growth cone', 'regulation of presynapse assembly', 'extracellular matrix', 'endoplasmic reticulum', 'protein localization to synapse', 'excitatory synapse', 'integral component of postsynaptic specialization membrane', 'locomotory behavior', 'positive regulation of synapse assembly', 'molecular_function', 'negative regulation of receptor internalization', 'exploration behavior', 'glutamatergic synapse', 'GABA-ergic synapse', 'long-term synaptic potentiation', 'regulation of postsynaptic density assembly', 'extracellular space', 'cell junction']",0,1,2,0,1
6,PRKACA,"['regulation of cardiac muscle contraction by regulation of the release of sequestered calcium ion', 'high-density lipoprotein particle assembly', 'cellular response to glucose stimulus', 'mitochondrion', 'regulation of G2/M transition of mitotic cell cycle', 'sperm flagellum', 'neural tube closure', 'regulation of osteoblast differentiation', 'positive regulation of protein export from nucleus', 'regulation of ryanodine-sensitive calcium-release channel activity', 'ciliary basal body-plasma membrane docking', 'plasma membrane raft', 'regulation of bicellular tight junction assembly', 'calcium channel complex', 'protein kinase A regulatory subunit binding', 'cellular response to heat', 'peptidyl-threonine phosphorylation', 'axoneme', 'regulation of macroautophagy', 'perinuclear region of cytoplasm', 'protein kinase A signaling', 'neuromuscular junction', 'positive regulation of cell cycle arrest', 'calcium-mediated signaling using intracellular calcium source', 'intercellular bridge', 'ciliary base', 'regulation of cardiac conduction', 'cytosol', 'mRNA processing', 'mesoderm formation', 'cAMP-dependent protein kinase activity', 'cell communication by electrical coupling involved in cardiac conduction', 'blood coagulation', 'nuclear speck', 'negative regulation of smoothened signaling pathway involved in dorsal/ventral neural tube patterning', 'regulation of heart rate', 'peptidyl-serine phosphorylation', 'cellular response to glucagon stimulus', 'activation of protein kinase A activity', 'ATP binding', 'cAMP-dependent protein kinase complex', 'magnesium ion binding', 'centrosome', 'cytokine-mediated signaling pathway', 'dendritic spine', 'cellular response to epinephrine stimulus', 'extracellular exosome', 'protein kinase binding', 'protein serine/threonine/tyrosine kinase activity', 'regulation of protein binding', 'acrosomal vesicle', 'sperm capacitation', 'modulation of chemical synaptic transmission', 'regulation of proteasomal protein catabolic process', 'stimulatory C-type lectin receptor signaling pathway', 'renal water homeostasis', 'ubiquitin protein ligase binding', 'protein autophosphorylation', 'cellular response to parathyroid hormone stimulus', 'protein domain specific binding', 'manganese ion binding', 'regulation of protein processing']",4,1,2,4,0
7,CADPS,"['presynapse', 'cytoplasmic vesicle membrane', 'metal ion binding', 'cytosol', 'lipid binding', 'synaptic vesicle exocytosis', 'cell junction', 'dense core granule exocytosis', 'protein transport', 'protein kinase binding']",0,1,1,1,0
8,DNM2,"['growth cone', 'WW domain binding', 'presynapse', 'positive regulation of lamellipodium assembly', 'negative regulation of non-motile cilium assembly', 'cellular response to nitric oxide', 'cellular response to carbon monoxide', 'synaptic vesicle budding from presynaptic endocytic zone membrane', 'GTP binding', 'Golgi to plasma membrane transport', 'D2 dopamine receptor binding', 'negative regulation of transforming growth factor beta receptor signaling pathway', 'response to light stimulus', 'trans-Golgi network', 'nucleus', 'focal adhesion', 'lamellipodium', 'macropinocytosis', 'perinuclear region of cytoplasm', 'postsynaptic neurotransmitter receptor internalization', 'spermatogenesis', 'regulation of axon extension', 'postsynaptic density, intracellular component', 'dendritic spine head', 'cytosol', 'positive regulation of clathrin-dependent endocytosis', 'glutamatergic synapse', 'SH3 domain binding', 'positive regulation of phagocytosis', 'coronary vasculature development', 'positive regulation of sodium:potassium-exchanging ATPase activity', 'clathrin-coated pit', 'GTPase activity', 'antigen processing and presentation of exogenous peptide antigen via MHC class II', 'response to cocaine', 'phagocytic cup', 'clathrin-coated endocytic vesicle', 'Golgi membrane', 'aorta development', 'postsynaptic endocytic zone membrane', 'negative regulation of membrane tubulation', 'positive regulation of apoptotic process', 'cellular response to X-ray', 'centrosome', 'positive regulation of substrate adhesion-dependent cell spreading', 'midbody', 'microtubule', 'regulation of Golgi organization', 'extracellular exosome', 'protein kinase binding', 'G2/M transition of mitotic cell cycle', 'transferrin transport', 'protein-containing complex', 'protein-containing complex binding', 'photoreceptor inner segment', 'G protein-coupled receptor internalization', 'microtubule binding', 'ruffle membrane', 'positive regulation of nitric oxide biosynthetic process', 'regulation of synapse structure or activity', 'nitric-oxide synthase binding', 'regulation of nitric-oxide synthase activity', 'phosphatidylinositol 3-kinase regulatory subunit binding', 'regulation of Rac protein signal transduction', 'cellular response to dopamine', 'endosome', 'ventricular septum development', 'phagocytic vesicle membrane', 'positive regulation of transcription, DNA-templated']",4,1,4,3,3
9,LIN7A,"['presynapse', 'exocytosis', 'MPP7-DLG1-LIN7 complex', 'basolateral plasma membrane', 'protein localization to basolateral plasma membrane', 'maintenance of epithelial cell apical/basal polarity', 'inner ear development', 'postsynaptic membrane', 'neuron projection', 'synaptic vesicle transport', 'L27 domain binding', 'postsynaptic density', 'neurotransmitter secretion', 'protein-containing complex assembly', 'bicellular tight junction', 'protein transport', 'extracellular exosome']",1,2,2,1,1
10,RIMBP2,"['negative regulation of phosphatase activity', 'synapse', 'plasma membrane', 'neuromuscular synaptic transmission', 'cell junction']",0,0,1,0,0
11,AAK1,"['cell leading edge', 'nucleus', 'regulation of protein localization', 'extrinsic component of plasma membrane', 'protein serine/threonine kinase activity', 'clathrin-coated vesicle', 'Notch binding', 'ATP binding', 'cytosol', 'AP-2 adaptor complex binding', 'terminal bouton', 'positive regulation of Notch signaling pathway', 'protein autophosphorylation', 'protein stabilization', 'regulation of clathrin-dependent endocytosis', 'membrane organization', 'clathrin-coated pit']",2,1,1,1,0
