Gene Symbol,Accession,Description,SumCoverage,SumNum Proteins,SumNum Unique Peptides,SumNum Peptides,SumNum PSMs,Score A2,Coverage A2,Num Peptides A2,Num PSM A2,Score A4,Coverage A4,Num Peptides A4,Num PSM A4,Num AAs,MW kDa,calc pI,,,,,,,,
ACTB,P60709,"Actin, cytoplasmic 1 OS=Homo sapiens GN=ACTB PE=1 SV=1 - [ACTB_HUMAN]",74.4,15.0,16.0,40.0,2040.0,32237.31,74.4,38.0,1019.0,3604.15,74.4,39.0,1021.0,375.0,41.7,5.48,,,,,,,,
INA,Q16352,Alpha-internexin OS=Homo sapiens GN=INA PE=1 SV=2 - [AINX_HUMAN],72.34,1.0,50.0,58.0,1883.0,37570.73,72.34,57.0,934.0,3168.0,71.74,57.0,949.0,499.0,55.4,5.4,,,,,,,,
DYNC1H1,Q14204,Cytoplasmic dynein 1 heavy chain 1 OS=Homo sapiens GN=DYNC1H1 PE=1 SV=5 - [DYHC1_HUMAN],56.37,9.0,296.0,296.0,1865.0,17932.97,54.78,282.0,914.0,2612.93,55.98,289.0,951.0,4646.0,532.1,6.4,,,,,,,,
TUBA1A,Q71U36-2,Isoform 2 of Tubulin alpha-1A chain OS=Homo sapiens GN=TUBA1A - [TBA1A_HUMAN],81.73,16.0,1.0,39.0,1807.0,26717.07,81.73,37.0,890.0,2857.76,81.73,39.0,917.0,416.0,46.3,5.08,,,,,,,,
NEFM,E7ESP9,Neurofilament medium polypeptide OS=Homo sapiens GN=NEFM PE=2 SV=1 - [E7ESP9_HUMAN],80.96,4.0,92.0,99.0,1680.0,18954.93,79.59,94.0,824.0,2759.35,78.79,96.0,856.0,877.0,98.3,4.86,,,,,,,,
TUBB2B,Q9BVA1,Tubulin beta-2B chain OS=Homo sapiens GN=TUBB2B PE=1 SV=1 - [TBB2B_HUMAN],77.75,3.0,2.0,44.0,1562.0,18577.26,77.75,44.0,766.0,2571.22,77.75,43.0,796.0,445.0,49.9,4.89,,,,,,,,
TUBB2A,Q13885,Tubulin beta-2A chain OS=Homo sapiens GN=TUBB2A PE=1 SV=1 - [TBB2A_HUMAN],77.75,3.0,2.0,44.0,1553.0,18440.77,77.75,44.0,761.0,2558.96,77.75,43.0,792.0,445.0,49.9,4.89,,,,,,,,
PRPH,P41219-2,Isoform 2 of Peripherin OS=Homo sapiens GN=PRPH - [PERI_HUMAN],92.14,9.0,2.0,73.0,1532.0,20762.87,92.14,73.0,759.0,2312.38,92.14,73.0,773.0,471.0,53.7,5.47,,,,,,,,
PRPH,P41219,Peripherin OS=Homo sapiens GN=PRPH PE=1 SV=2 - [PERI_HUMAN],92.13,8.0,1.0,72.0,1526.0,20781.87,92.13,72.0,756.0,2306.65,92.13,72.0,770.0,470.0,53.6,5.47,,,,,,,,
TUBB,P07437,Tubulin beta chain OS=Homo sapiens GN=TUBB PE=1 SV=2 - [TBB5_HUMAN],77.03,8.0,5.0,43.0,1513.0,17708.96,77.03,43.0,745.0,2468.62,77.03,42.0,768.0,444.0,49.6,4.89,,,,,,,,
TUBB4B,P68371,Tubulin beta-4B chain OS=Homo sapiens GN=TUBB4B PE=1 SV=1 - [TBB4B_HUMAN],77.75,6.0,2.0,44.0,1455.0,17459.01,77.75,44.0,719.0,2385.85,77.75,43.0,736.0,445.0,49.8,4.89,,,,,,,,
TUBA4A,A8MUB1,Tubulin alpha-4A chain OS=Homo sapiens GN=TUBA4A PE=2 SV=1 - [A8MUB1_HUMAN],65.36,11.0,6.0,30.0,1410.0,20886.39,63.05,28.0,692.0,2277.38,65.36,30.0,718.0,433.0,48.3,5.01,,,,,,,,
NEFL,P07196,Neurofilament light polypeptide OS=Homo sapiens GN=NEFL PE=1 SV=3 - [NFL_HUMAN],78.82,2.0,55.0,60.0,1251.0,19553.63,78.82,59.0,622.0,1949.34,78.82,59.0,629.0,543.0,61.5,4.65,,,,,,,,
TUBB3,Q13509,Tubulin beta-3 chain OS=Homo sapiens GN=TUBB3 PE=1 SV=2 - [TBB3_HUMAN],75.56,12.0,17.0,39.0,1237.0,15750.89,75.56,38.0,613.0,1965.65,75.56,37.0,624.0,450.0,50.4,4.93,,,,,,,,
SPTAN1,Q13813-2,"Isoform 2 of Spectrin alpha chain, non-erythrocytic 1 OS=Homo sapiens GN=SPTAN1 - [SPTN1_HUMAN]",66.29,4.0,204.0,204.0,1206.0,13426.33,66.05,196.0,596.0,1881.24,66.29,202.0,610.0,2477.0,284.9,5.35,,,,,,,,
SPTBN1,Q01082,"Spectrin beta chain, non-erythrocytic 1 OS=Homo sapiens GN=SPTBN1 PE=1 SV=2 - [SPTB2_HUMAN]",69.2,15.0,13.0,182.0,1183.0,12749.47,68.53,175.0,583.0,1794.51,69.16,180.0,600.0,2364.0,274.4,5.57,,,,,,,,
TUBB4A,P04350,Tubulin beta-4A chain OS=Homo sapiens GN=TUBB4A PE=1 SV=2 - [TBB4A_HUMAN],77.93,13.0,6.0,42.0,1156.0,13521.04,77.93,42.0,570.0,1881.63,77.93,40.0,586.0,444.0,49.6,4.88,,,,,,,,
SPTBN1,Q01082-3,"Isoform 2 of Spectrin beta chain, non-erythrocytic 1 OS=Homo sapiens GN=SPTBN1 - [SPTB2_HUMAN]",69.88,13.0,1.0,168.0,1099.0,11697.52,69.19,162.0,541.0,1653.4,69.84,166.0,558.0,2155.0,251.2,5.53,,,,,,,,
CLTC,Q00610-2,Isoform 2 of Clathrin heavy chain 1 OS=Homo sapiens GN=CLTC - [CLH1_HUMAN],60.71,11.0,118.0,118.0,1048.0,12187.19,59.98,113.0,512.0,1645.37,60.4,116.0,536.0,1639.0,187.8,5.69,,,,,,,,
MAP1B,P46821,Microtubule-associated protein 1B OS=Homo sapiens GN=MAP1B PE=1 SV=2 - [MAP1B_HUMAN],56.08,5.0,128.0,130.0,1015.0,13785.96,54.9,125.0,501.0,1647.65,55.96,128.0,514.0,2468.0,270.5,4.81,,,,,,,,
TUBA1C,Q9BQE3,Tubulin alpha-1C chain OS=Homo sapiens GN=TUBA1C PE=1 SV=1 - [TBA1C_HUMAN],74.83,14.0,2.0,38.0,1008.0,11257.12,74.83,36.0,495.0,1486.11,74.83,38.0,513.0,449.0,49.9,5.1,,,,,,,,
TUBA8,Q9NY65-2,Isoform 2 of Tubulin alpha-8 chain OS=Homo sapiens GN=TUBA8 - [TBA8_HUMAN],46.74,5.0,1.0,17.0,912.0,15079.29,46.74,17.0,452.0,1372.73,46.74,17.0,460.0,383.0,42.9,5.08,,,,,,,,
