,genes,description,avg_scores,syngo,syndb,synsysnet,cortex,striatum,fetal,ngn2,Lit Sum,Exp Sum,All Sum,SynSig,Synapse_Status,Synapse Percentile
478,APP,amyloid beta precursor protein [Source:HGNC Symbol;Acc:HGNC:620],5.848907342172893,1,0,1,1,1,1,1,2,4,6,yes,old,100.0
3681,HSP90AB1,heat shock protein 90 alpha family class B member 1 [Source:HGNC Symbol;Acc:HGNC:5258],5.619268639752512,0,1,0,1,1,1,1,1,4,5,yes,old,99.9901068460625
3692,HSPA8,heat shock protein family A (Hsp70) member 8 [Source:HGNC Symbol;Acc:HGNC:5241],5.474444701058316,1,1,1,1,1,1,1,3,4,7,yes,old,99.98021369212505
2388,EGFR,epidermal growth factor receptor [Source:HGNC Symbol;Acc:HGNC:3236],5.469595538688706,0,0,0,1,0,0,0,0,1,1,yes,new,99.97032053818758
8843,TP53,tumor protein p53 [Source:HGNC Symbol;Acc:HGNC:11998],5.4616215808544135,0,0,0,0,0,0,0,0,0,0,yes,new,99.96042738425008
3680,HSP90AA1,heat shock protein 90 alpha family class A member 1 [Source:HGNC Symbol;Acc:HGNC:5253],5.447978091295072,0,1,1,1,1,1,1,2,4,6,yes,old,99.95053423031263
7894,SMARCA2,"SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 2 [Source:HGNC Symbol;Acc:HGNC:11098]",5.408466694236755,0,0,0,0,0,0,0,0,0,0,yes,new,99.94064107637514
2522,EP300,E1A binding protein p300 [Source:HGNC Symbol;Acc:HGNC:3373],5.385630308050923,0,0,0,0,0,0,1,0,1,1,yes,new,99.93074792243769
368,ANK2,ankyrin 2 [Source:HGNC Symbol;Acc:HGNC:493],5.383963499736277,0,1,1,1,1,1,1,2,4,6,yes,old,99.92085476850019
902,BRCA1,BRCA1 DNA repair associated [Source:HGNC Symbol;Acc:HGNC:1100],5.373136400119599,0,0,0,0,0,0,0,0,0,0,yes,new,99.91096161456272
9510,XPO1,exportin 1 [Source:HGNC Symbol;Acc:HGNC:12825],5.369208126842711,0,1,0,0,0,0,1,1,1,2,yes,old,99.90106846062523
4725,MCM2,minichromosome maintenance complex component 2 [Source:HGNC Symbol;Acc:HGNC:6944],5.3653328829749505,0,0,0,0,0,0,1,0,1,1,yes,new,99.89117530668777
2589,ESR1,estrogen receptor 1 [Source:HGNC Symbol;Acc:HGNC:3467],5.344574865282458,0,0,0,0,0,0,0,0,0,0,yes,new,99.8812821527503
6173,PKM,pyruvate kinase M1/2 [Source:HGNC Symbol;Acc:HGNC:9021],5.335809712810883,0,0,0,1,1,1,1,0,4,4,yes,new,99.8713889988128
1757,CREBBP,CREB binding protein [Source:HGNC Symbol;Acc:HGNC:2348],5.335751958545134,0,0,0,0,0,0,0,0,0,0,yes,new,99.86149584487535
2371,EEF1A1,eukaryotic translation elongation factor 1 alpha 1 [Source:HGNC Symbol;Acc:HGNC:3189],5.3199594391553395,0,1,1,1,1,1,1,2,4,6,yes,old,99.85160269093788
