Index,Gene,Known Functions,Signaling,Transport,Organization,Metabolism,Development
0,CRNN,"['cytoplasm', 'extracellular exosome', 'membrane', 'calcium ion binding', 'cell-cell adhesion', 'response to heat', 'transition metal ion binding']",2,0,1,1,0
1,MUC12,"['O-glycan processing', 'molecular_function', 'integral component of plasma membrane', 'stimulatory C-type lectin receptor signaling pathway', 'Golgi lumen', 'regulation of cell growth']",1,0,0,1,1
2,ZACN,"['nervous system process', 'response to zinc ion', 'integral component of plasma membrane', 'chemical synaptic transmission', 'neuron projection', 'extracellular ligand-gated ion channel activity', 'ion transmembrane transport', 'synapse', 'transmembrane signaling receptor activity', 'regulation of membrane potential', 'zinc ion binding', 'signal transduction']",3,1,0,2,0
3,ZNF574,"['DNA binding', 'metal ion binding', 'regulation of transcription by RNA polymerase II', 'nucleus', 'DNA-binding transcription factor activity, RNA polymerase II-specific']",0,0,0,1,0
4,SLC25A32,"['integral component of membrane', 'folate import into mitochondrion', 'folic acid metabolic process', 'mitochondrial inner membrane', 'FAD transmembrane transporter activity', 'glycine metabolic process', 'folic acid transmembrane transporter activity', 'FAD transmembrane transport']",0,1,0,3,0
5,LRRC4C,"['glutamatergic synapse', 'extracellular space', 'synaptic membrane adhesion', 'cell-cell adhesion mediator activity', 'integral component of postsynaptic density membrane', 'regulation of axonogenesis', 'cell junction', 'Schaffer collateral - CA1 synapse', 'cell adhesion molecule binding', 'modulation of chemical synaptic transmission']",0,0,2,1,1
6,TNS1,"['cytoplasm', 'focal adhesion', 'cytoskeleton', 'cell surface', 'fibroblast migration', 'actin binding', 'cell-substrate junction assembly', 'RNA binding']",0,0,4,1,0
7,CHD1,"['fibrillar center', 'cytoplasm', 'DNA binding', 'chromatin remodeling', 'DNA duplex unwinding', 'regulation of transcription by RNA polymerase II', 'methylated histone binding', 'nucleoplasm', 'covalent chromatin modification', 'ATP-dependent DNA helicase activity', 'positive regulation by host of viral transcription', 'ATP binding']",0,0,0,1,0
8,BCR,"['positive regulation of phagocytosis', 'glutamatergic synapse', 'negative regulation of inflammatory response', 'protein-containing complex', 'regulation of cell cycle', 'positive regulation of GTPase activity', 'inner ear morphogenesis', 'intracellular protein transmembrane transport', 'homeostasis of number of cells', 'extracellular exosome', 'negative regulation of respiratory burst', 'regulation of vascular permeability', 'protein serine/threonine kinase activity', 'regulation of Rho protein signal transduction', 'actin cytoskeleton organization', 'cell junction', 'modulation of chemical synaptic transmission', 'negative regulation of cellular extravasation', 'Rho guanyl-nucleotide exchange factor activity', 'cytosol', 'renal system process', 'brain development', 'cellular response to lipopolysaccharide', 'negative regulation of reactive oxygen species metabolic process', 'Schaffer collateral - CA1 synapse', 'regulation of nitrogen compound metabolic process', 'postsynaptic density, intracellular component', 'negative regulation of blood vessel remodeling', 'postsynaptic membrane', 'protein autophosphorylation', 'definitive hemopoiesis', 'negative regulation of neutrophil degranulation', 'GTPase activator activity', 'neuromuscular process controlling balance', 'platelet-derived growth factor receptor signaling pathway', 'ATP binding']",4,1,3,3,3
9,WNT11,"['cloacal septation', 'protein kinase activator activity', 'positive regulation of stress fiber assembly', 'negative regulation of apoptotic process', 'positive regulation of GTPase activity', 'cell fate commitment', 'artery morphogenesis', 'convergent extension involved in axis elongation', 'paraxial mesoderm formation', 'transcription regulatory region DNA binding', 'negative regulation of cartilage development', 'positive regulation of transforming growth factor beta2 production', 'Wnt signaling pathway, calcium modulating pathway', 'response to nutrient levels', 'ventricular septum morphogenesis', 'mesonephric duct development', 'epithelial to mesenchymal transition', 'negative regulation of mesenchymal cell proliferation', 'neuroendocrine cell differentiation', 'positive regulation of cell migration', 'positive regulation of apoptotic process', 'adrenal gland development', 'cytoplasm', 'negative regulation of cell growth', 'ureteric bud morphogenesis', 'cellular response to mechanical stimulus', 'planar cell polarity pathway involved in axis elongation', 'somite development', 'neuron differentiation', 'notochord morphogenesis', 'outflow tract morphogenesis', 'frizzled binding', 'cellular response to retinoic acid', 'protein localization to cell surface', 'activation of protein kinase activity', 'extracellular matrix', 'negative regulation of transcription, DNA-templated', 'embryonic skeletal system development', 'negative regulation of fibroblast growth factor production', 'negative regulation of cell migration', 'secondary palate development', 'bone mineralization', 'extracellular space', 'osteoblast differentiation', 'positive regulation of transcription, DNA-templated', 'bicellular tight junction assembly', 'positive regulation of protein kinase C signaling', 'lung-associated mesenchyme development', 'GTPase activator activity', 'planar cell polarity pathway involved in gastrula mediolateral intercalation', 'negative regulation of canonical Wnt signaling pathway', 'maintenance of epithelial cell apical/basal polarity']",3,1,2,2,3
