,genes,description,MF Terms,Receptor/Channel,Kinase/Phosphatase,Ubiquitin/E3,Vesicle/Transporters,GTP/ATP Regulators,Nucleic Acid Binding,Translation,Membrane/Cell Adhesion,Other Regulators,Scaffolds/Adaptors,Cytoskeletal,Calcium Ion Binding,Other Enzymes,Other protein binders,unknown functions,Function Total
1,HSP90AB1,heat shock protein 90 alpha family class B member 1 [Source:HGNC Symbol;Acc:HGNC:5258],"['protein kinase regulator activity', 'dATP binding', 'ion channel binding', 'ATP binding', 'unfolded protein binding', 'cadherin binding', 'MHC class II protein complex binding', 'nitric-oxide synthase regulator activity', 'TPR domain binding', 'histone deacetylase binding', 'DNA polymerase binding', 'GTP binding', 'protein folding chaperone', 'ubiquitin protein ligase binding', 'UTP binding', 'sulfonylurea receptor binding', 'CTP binding', 'protein kinase binding', 'double-stranded RNA binding', 'histone methyltransferase binding', 'drug binding', 'disordered domain specific binding', 'peptide binding', 'ATP-dependent protein binding', 'tau protein binding', 'heat shock protein binding', 'protein homodimerization activity']",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
2,HSPA8,heat shock protein family A (Hsp70) member 8 [Source:HGNC Symbol;Acc:HGNC:5241],"['ubiquitin protein ligase binding', 'clathrin-uncoating ATPase activity', 'G protein-coupled receptor binding', 'RNA binding', 'protein-macromolecule adaptor activity', 'phosphatidylserine binding', 'ATP binding', 'unfolded protein binding', 'protein folding chaperone', 'cadherin binding', 'chaperone binding', 'C3HC4-type RING finger domain binding', 'MHC class II protein complex binding', 'heat shock protein binding', 'misfolded protein binding']",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
3,EGFR,epidermal growth factor receptor [Source:HGNC Symbol;Acc:HGNC:3236],"['protein phosphatase binding', 'ATPase binding', 'ubiquitin protein ligase binding', 'virus receptor activity', 'epidermal growth factor binding', 'calmodulin binding', 'MAP kinase kinase kinase activity', 'epidermal growth factor-activated receptor activity', 'ATP binding', 'cadherin binding', 'double-stranded DNA binding', 'protein kinase binding', 'actin filament binding', 'chromatin binding', 'nitric-oxide synthase regulator activity', 'identical protein binding', 'integrin binding']",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
5,HSP90AA1,heat shock protein 90 alpha family class A member 1 [Source:HGNC Symbol;Acc:HGNC:5253],"['TPR domain binding', 'ubiquitin protein ligase binding', 'histone deacetylase binding', 'disordered domain specific binding', 'DNA polymerase binding', 'scaffold protein binding', 'RNA binding', 'ATP binding', 'ATPase activity', 'tau protein binding', 'unfolded protein binding', 'protein folding chaperone', 'protein tyrosine kinase binding', 'MHC class II protein complex binding', 'GTPase binding', 'nitric-oxide synthase regulator activity', 'protein homodimerization activity']",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
6,SMARCA2,"SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 2 [Source:HGNC Symbol;Acc:HGNC:11098]","['helicase activity', 'transcription coactivator activity', 'ATP binding', 'DNA-dependent ATPase activity', 'transcription regulatory region sequence-specific DNA binding', 'chromatin binding', 'histone binding']",0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,3
9,BRCA1,BRCA1 DNA repair associated [Source:HGNC Symbol;Acc:HGNC:1100],"['RNA polymerase binding', 'tubulin binding', 'ubiquitin protein ligase binding', 'damaged DNA binding', 'transcription coactivator activity', 'RNA binding', 'ubiquitin-protein transferase activity', 'transcription regulatory region sequence-specific DNA binding', 'identical protein binding', 'zinc ion binding']",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
10,XPO1,exportin 1 [Source:HGNC Symbol;Acc:HGNC:12825],"['RNA binding', 'nuclear export signal receptor activity', 'small GTPase binding', 'protein domain specific binding']",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
12,ESR1,estrogen receptor 1 [Source:HGNC Symbol;Acc:HGNC:3467],"['ATPase binding', 'DNA-binding transcription activator activity, RNA polymerase II-specific', 'estrogen receptor activity', 'TBP-class protein binding', 'nuclear receptor activity', 'estrogen receptor binding', 'RNA polymerase II transcription corepressor binding', 'steroid binding', 'transcription coactivator binding', 'TFIIB-class transcription factor binding', 'protein kinase binding', 'estrogen response element binding', 'beta-catenin binding', 'chromatin binding', 'nitric-oxide synthase regulator activity', 'identical protein binding', 'zinc ion binding']",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
13,PKM,pyruvate kinase M1/2 [Source:HGNC Symbol;Acc:HGNC:9021],"['mRNA binding', 'potassium ion binding', 'ADP binding', 'magnesium ion binding', 'ATP binding', 'cadherin binding', 'MHC class II protein complex binding', 'pyruvate kinase activity', 'thyroid hormone binding', 'kinase activity', 'identical protein binding']",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
15,EEF1A1,eukaryotic translation elongation factor 1 alpha 1 [Source:HGNC Symbol;Acc:HGNC:3189],"['tRNA binding', 'GTPase activity', 'translation elongation factor activity', 'GTP binding', 'protein kinase binding']",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
