,genes,description,MF Terms,syngo,syndb,synsysnet,cortex,striatum,fetal,ngn2,Lit Sum,Exp Sum,All Sum
0,LAMC1,laminin subunit gamma 1 [Source:HGNC Symbol;Acc:HGNC:6492],['extracellular matrix constituent conferring elasticity'],1,0,0,0,0,0,1,1,1,2
1,TNR,tenascin R [Source:HGNC Symbol;Acc:HGNC:11953],['signaling receptor binding'],1,1,1,1,1,1,0,3,3,6
2,MYO5A,myosin VA [Source:HGNC Symbol;Acc:HGNC:7602],"['calmodulin binding', 'calcium ion binding', 'small GTPase binding', 'identical protein binding', 'actin filament binding', 'microfilament motor activity', 'ATP binding', 'actin-dependent ATPase activity', 'RNA binding', 'disordered domain specific binding']",1,1,1,1,1,1,1,3,4,7
3,ANO1,anoctamin 1 [Source:HGNC Symbol;Acc:HGNC:21625],"['voltage-gated chloride channel activity', 'calcium activated cation channel activity', 'metal ion binding', 'intracellular calcium activated chloride channel activity', 'protein homodimerization activity', 'iodide transmembrane transporter activity', 'signaling receptor binding']",1,0,0,0,0,0,0,1,0,1
4,FGA,fibrinogen alpha chain [Source:HGNC Symbol;Acc:HGNC:3661],"['extracellular matrix structural constituent', 'metal ion binding', 'cell adhesion molecule binding', 'signaling receptor binding']",1,0,0,0,0,0,0,1,0,1
5,PRKAR2A,protein kinase cAMP-dependent type II regulatory subunit alpha [Source:HGNC Symbol;Acc:HGNC:9391],"['protein kinase A catalytic subunit binding', 'ubiquitin protein ligase binding', 'protein domain specific binding', 'cAMP-dependent protein kinase inhibitor activity', 'cAMP binding']",1,1,1,1,1,1,1,3,4,7
6,PIN1,"peptidylprolyl cis/trans isomerase, NIMA-interacting 1 [Source:HGNC Symbol;Acc:HGNC:8988]","['peptidyl-prolyl cis-trans isomerase activity', 'mitogen-activated protein kinase kinase binding', 'phosphothreonine residue binding', 'GTPase activating protein binding', 'motor activity', 'phosphoserine residue binding', 'tau protein binding', 'beta-catenin binding']",1,0,0,1,1,0,1,1,3,4
7,LZTS1,leucine zipper tumor suppressor 1 [Source:HGNC Symbol;Acc:HGNC:13861],['microtubule binding'],1,1,0,1,0,1,1,2,3,5
8,VPS33B,VPS33B late endosome and lysosome associated [Source:HGNC Symbol;Acc:HGNC:12712],"['protein binding', 'protein-containing complex binding']",1,0,1,1,0,0,1,2,2,4
9,GRIA4,glutamate ionotropic receptor AMPA type subunit 4 [Source:HGNC Symbol;Acc:HGNC:4574],"['amyloid-beta binding', 'AMPA glutamate receptor activity']",1,1,1,1,1,0,0,3,2,5
10,PCLO,piccolo presynaptic cytomatrix protein [Source:HGNC Symbol;Acc:HGNC:13406],"['calcium-dependent phospholipid binding', 'structural constituent of presynaptic active zone', 'calcium ion binding', 'profilin binding']",1,1,1,1,1,1,0,3,3,6
11,JAK2,Janus kinase 2 [Source:HGNC Symbol;Acc:HGNC:6192],"['SH2 domain binding', 'growth hormone receptor binding', 'type 1 angiotensin receptor binding', 'peptide hormone receptor binding', 'histone binding', 'acetylcholine receptor binding', 'protein kinase binding', 'heme binding', 'histone kinase activity (H3-Y41 specific)', 'phosphatidylinositol 3-kinase binding', 'identical protein binding', 'ATP binding', 'metal ion binding', 'insulin receptor substrate binding', 'interleukin-12 receptor binding', 'protein C-terminus binding']",1,0,0,0,0,0,0,1,0,1
12,RPL10,ribosomal protein L10 [Source:HGNC Symbol;Acc:HGNC:10298],"['protein binding', 'RNA binding', 'translation regulator activity', 'structural constituent of ribosome']",1,0,1,1,1,1,1,2,4,6
13,DRP2,dystrophin related protein 2 [Source:HGNC Symbol;Acc:HGNC:3032],['zinc ion binding'],1,0,0,0,0,0,0,1,0,1
14,PPP3CA,protein phosphatase 3 catalytic subunit alpha [Source:HGNC Symbol;Acc:HGNC:9314],"['calmodulin binding', 'calcium ion binding', 'protein dimerization activity', 'protein serine phosphatase activity', 'protein threonine phosphatase activity', 'ATPase binding', 'cyclosporin A binding', 'protein-containing complex binding', 'calmodulin-dependent protein phosphatase activity']",1,1,1,1,1,1,1,3,4,7
