,genes,description,MF Terms,syngo,syndb,synsysnet,cortex,striatum,fetal,ngn2,Lit Sum,Exp Sum,All Sum
0,PLEKHH2,"pleckstrin homology, MyTH4 and FERM domain containing H2 [Source:HGNC Symbol;Acc:HGNC:30506]","['actin binding', 'identical protein binding']",0,0,0,0,0,0,0,0,0,0
1,RAD9A,RAD9 checkpoint clamp component A [Source:HGNC Symbol;Acc:HGNC:9827],"['protein kinase binding', 'histone deacetylase binding', ""3'-5' exonuclease activity"", 'exodeoxyribonuclease III activity', 'SH3 domain binding']",0,0,0,0,0,0,0,0,0,0
2,ATF4,activating transcription factor 4 [Source:HGNC Symbol;Acc:HGNC:786],"['protein kinase binding', 'cAMP response element binding protein binding', 'RNA polymerase II transcription factor binding', 'DNA-binding transcription activator activity, RNA polymerase II-specific', 'protein heterodimerization activity', 'leucine zipper domain binding', 'RNA polymerase II cis-regulatory region sequence-specific DNA binding']",0,0,0,0,0,0,0,0,0,0
3,KLHL13,kelch like family member 13 [Source:HGNC Symbol;Acc:HGNC:22931],"['protein N-terminus binding', 'cullin family protein binding', 'ubiquitin-protein transferase activity']",0,0,0,0,0,0,0,0,0,0
4,SULT2B1,sulfotransferase family 2B member 1 [Source:HGNC Symbol;Acc:HGNC:11459],"['alcohol sulfotransferase activity', 'steroid sulfotransferase activity', 'nucleic acid binding', 'cholesterol binding', 'protein binding', 'steroid hormone binding']",0,0,0,0,0,0,0,0,0,0
5,SMARCB1,"SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily b, member 1 [Source:HGNC Symbol;Acc:HGNC:11103]","['transcription coactivator activity', 'RNA polymerase I core promoter sequence-specific DNA binding', 'nucleosomal DNA binding', 'p53 binding', 'Tat protein binding']",0,0,0,0,0,0,1,0,1,1
6,PRPS1,phosphoribosyl pyrophosphate synthetase 1 [Source:HGNC Symbol;Acc:HGNC:9462],"['ATP binding', 'kinase activity', 'ribose phosphate diphosphokinase activity', 'magnesium ion binding', 'protein homodimerization activity']",0,1,0,1,0,0,1,1,2,3
7,MOBP,myelin associated oligodendrocyte basic protein [Source:HGNC Symbol;Acc:HGNC:7189],"['actin binding', 'small GTPase binding', 'structural constituent of myelin sheath', 'myosin binding']",0,0,0,1,1,0,0,0,2,2
8,SLC26A1,solute carrier family 26 member 1 [Source:HGNC Symbol;Acc:HGNC:10993],"['anion:anion antiporter activity', 'chloride transmembrane transporter activity', 'bicarbonate transmembrane transporter activity', 'secondary active sulfate transmembrane transporter activity', 'oxalate transmembrane transporter activity']",0,0,0,0,0,0,0,0,0,0
9,PANK3,pantothenate kinase 3 [Source:HGNC Symbol;Acc:HGNC:19365],"['vitamin binding', 'ATP binding', 'acetyl-CoA binding', 'pantothenate kinase activity', 'protein homodimerization activity']",0,0,0,0,0,0,0,0,0,0
10,WDR62,WD repeat domain 62 [Source:HGNC Symbol;Acc:HGNC:24502],['protein binding'],0,0,0,0,0,0,0,0,0,0
11,HIPK1,homeodomain interacting protein kinase 1 [Source:HGNC Symbol;Acc:HGNC:19006],"['protein serine kinase activity', 'ATP binding', 'protein tyrosine kinase activity', 'protein binding', 'protein threonine kinase activity']",0,0,0,0,0,0,0,0,0,0
12,STAM2,signal transducing adaptor molecule 2 [Source:HGNC Symbol;Acc:HGNC:11358],['protein binding'],0,0,0,1,0,0,1,0,2,2
13,DPYSL5,dihydropyrimidinase like 5 [Source:HGNC Symbol;Acc:HGNC:20637],['microtubule binding'],0,1,1,1,1,1,1,2,4,6
14,MACC1,MET transcriptional regulator MACC1 [Source:HGNC Symbol;Acc:HGNC:30215],['growth factor activity'],0,0,0,0,0,0,0,0,0,0
15,DSC2,desmocollin 2 [Source:HGNC Symbol;Acc:HGNC:3036],"['cell adhesive protein binding involved in bundle of His cell-Purkinje myocyte communication', 'calcium ion binding']",0,0,0,0,0,0,0,0,0,0
16,CLDN6,claudin 6 [Source:HGNC Symbol;Acc:HGNC:2048],"['structural molecule activity', 'virus receptor activity', 'identical protein binding']",0,0,0,0,0,0,0,0,0,0
17,ZNF706,zinc finger protein 706 [Source:HGNC Symbol;Acc:HGNC:24992],['metal ion binding'],0,0,0,0,0,0,0,0,0,0
18,KCNK9,potassium two pore domain channel subfamily K member 9 [Source:HGNC Symbol;Acc:HGNC:6283],"['voltage-gated potassium channel activity', 'potassium ion leak channel activity']",0,0,0,0,0,0,0,0,0,0
19,TIPIN,TIMELESS interacting protein [Source:HGNC Symbol;Acc:HGNC:30750],"['protein binding', 'DNA binding']",0,0,0,0,0,0,0,0,0,0
20,ZNF205,zinc finger protein 205 [Source:HGNC Symbol;Acc:HGNC:12996],"['protein binding', 'DNA-binding transcription repressor activity, RNA polymerase II-specific', 'zinc ion binding', 'RNA polymerase II cis-regulatory region sequence-specific DNA binding']",0,0,0,0,0,0,0,0,0,0
21,EFNA4,ephrin A4 [Source:HGNC Symbol;Acc:HGNC:3224],"['ephrin receptor binding', 'transmembrane-ephrin receptor activity']",0,0,0,0,0,0,0,0,0,0
22,MSR1,macrophage scavenger receptor 1 [Source:HGNC Symbol;Acc:HGNC:7376],"['protein binding', 'scavenger receptor activity', 'amyloid-beta binding', 'low-density lipoprotein particle binding']",0,0,0,0,0,0,0,0,0,0
23,CNGB1,cyclic nucleotide gated channel subunit beta 1 [Source:HGNC Symbol;Acc:HGNC:2151],"['intracellular cAMP-activated cation channel activity', 'cAMP binding', 'protein-containing complex binding', 'cGMP binding', 'intracellular cGMP-activated cation channel activity', 'protein binding']",0,0,0,0,0,0,0,0,0,0
24,CD2,CD2 molecule [Source:HGNC Symbol;Acc:HGNC:1639],"['protein self-association', 'identical protein binding', 'signaling receptor activity', 'receptor tyrosine kinase binding']",0,0,0,0,0,0,0,0,0,0
25,NELFCD,negative elongation factor complex member C/D [Source:HGNC Symbol;Acc:HGNC:15934],"['protein binding', 'RNA binding']",0,0,0,0,0,0,0,0,0,0
26,SLC12A8,solute carrier family 12 member 8 [Source:HGNC Symbol;Acc:HGNC:15595],"['protein binding', 'potassium:chloride symporter activity']",0,0,0,0,0,0,0,0,0,0
27,TUBAL3,tubulin alpha like 3 [Source:HGNC Symbol;Acc:HGNC:23534],"['GTP binding', 'GTPase activity', 'structural constituent of cytoskeleton']",0,0,0,0,0,0,0,0,0,0
28,COBL,cordon-bleu WH2 repeat protein [Source:HGNC Symbol;Acc:HGNC:22199],['actin monomer binding'],0,0,0,1,0,0,0,0,1,1
29,OTOP3,otopetrin 3 [Source:HGNC Symbol;Acc:HGNC:19658],"['protein binding', 'proton channel activity']",0,0,0,0,0,0,0,0,0,0
30,RGS11,regulator of G protein signaling 11 [Source:HGNC Symbol;Acc:HGNC:9993],"['G-protein beta-subunit binding', 'GTPase activity', 'GTPase activator activity']",0,0,0,0,0,0,0,0,0,0
31,MYH11,myosin heavy chain 11 [Source:HGNC Symbol;Acc:HGNC:7569],"['motor activity', 'ATP binding', 'calmodulin binding', 'actin filament binding', 'structural constituent of muscle']",0,1,0,1,1,1,0,1,3,4
32,ZNF500,zinc finger protein 500 [Source:HGNC Symbol;Acc:HGNC:23716],"['protein binding', 'DNA-binding transcription factor activity, RNA polymerase II-specific', 'RNA polymerase II cis-regulatory region sequence-specific DNA binding', 'metal ion binding']",0,0,0,0,0,0,0,0,0,0
33,GPR89A,G protein-coupled receptor 89A [Source:HGNC Symbol;Acc:HGNC:31984],"['voltage-gated anion channel activity', 'protein binding']",0,0,0,1,0,0,0,0,1,1
34,TRIP13,thyroid hormone receptor interactor 13 [Source:HGNC Symbol;Acc:HGNC:12307],"['identical protein binding', 'ATPase activity', 'ATP binding', 'transcription coregulator activity']",0,0,0,0,0,0,0,0,0,0
35,SLC27A1,solute carrier family 27 member 1 [Source:HGNC Symbol;Acc:HGNC:10995],"['long-chain fatty acid transporter activity', 'efflux transmembrane transporter activity', 'biotin transmembrane transporter activity', 'oleoyl-CoA ligase activity', 'fatty acid transmembrane transporter activity', 'nucleotide binding', 'very long-chain fatty acid-CoA ligase activity', 'protein binding', 'arachidonate-CoA ligase activity']",0,0,0,1,0,0,0,0,1,1
36,RP1L1,RP1 like 1 [Source:HGNC Symbol;Acc:HGNC:15946],None,0,0,0,0,0,0,0,0,0,0
37,TBX1,T-box transcription factor 1 [Source:HGNC Symbol;Acc:HGNC:11592],"['protein homodimerization activity', 'DNA-binding transcription factor activity, RNA polymerase II-specific', 'RNA polymerase II cis-regulatory region sequence-specific DNA binding']",0,0,0,0,0,0,0,0,0,0
38,KMO,kynurenine 3-monooxygenase [Source:HGNC Symbol;Acc:HGNC:6381],"['NAD(P)H oxidase H2O2-forming activity', 'kynurenine 3-monooxygenase activity', 'FAD binding']",0,0,0,0,0,0,0,0,0,0
39,CALCRL,calcitonin receptor like receptor [Source:HGNC Symbol;Acc:HGNC:16709],"['calcitonin receptor activity', 'calcitonin gene-related peptide receptor activity', 'adrenomedullin receptor activity', 'adrenomedullin binding', 'protein binding']",0,0,0,0,0,0,0,0,0,0
40,TRAM1L1,translocation associated membrane protein 1 like 1 [Source:HGNC Symbol;Acc:HGNC:28371],['protein binding'],0,0,0,0,0,0,0,0,0,0
41,AGTPBP1,ATP/GTP binding protein 1 [Source:HGNC Symbol;Acc:HGNC:17258],"['tubulin binding', 'metallocarboxypeptidase activity', 'zinc ion binding']",0,0,0,0,0,0,1,0,1,1
42,CKMT2,"creatine kinase, mitochondrial 2 [Source:HGNC Symbol;Acc:HGNC:1996]","['protein binding', 'creatine kinase activity', 'ATP binding']",0,0,0,1,1,0,0,0,2,2
43,PPP2R5E,protein phosphatase 2 regulatory subunit B'epsilon [Source:HGNC Symbol;Acc:HGNC:9313],"['protein binding', 'protein phosphatase activator activity']",0,0,0,1,1,1,1,0,4,4
44,ABCA10,ATP binding cassette subfamily A member 10 [Source:HGNC Symbol;Acc:HGNC:30],"['ATPase activity', 'ATPase-coupled transmembrane transporter activity', 'lipid transporter activity', 'ATP binding']",0,0,0,0,0,0,0,0,0,0
45,ZNF530,zinc finger protein 530 [Source:HGNC Symbol;Acc:HGNC:29297],"['DNA-binding transcription factor activity, RNA polymerase II-specific', 'RNA polymerase II cis-regulatory region sequence-specific DNA binding', 'metal ion binding']",0,0,0,0,0,0,0,0,0,0
