Gene Symbol,SumCoverage,SumNum Proteins,SumNum Unique Peptides,SumNum Peptides,SumNum PSMs,Score A2,Coverage A2,Num Peptides A2,Num PSM A2,Score A4,Coverage A4,Num Peptides A4,Num PSM A4,Num AAs,MW kDa,calc pI
AAK1,11.13,3.0,6.0,6.0,10.0,92.75,9.89,5.0,5.0,5.18,8.12,5.0,5.0,961.0,103.8,6.6
ABCC12,10.38,7.0,1.0,1.0,1.0,,,,,0.0,10.38,1.0,1.0,106.0,12.0,8.82
ABCF1,3.02,3.0,1.0,1.0,1.0,,,,,0.0,3.02,1.0,1.0,596.0,67.6,8.19
ABI1,10.31,16.0,2.0,4.0,8.0,44.63,10.31,4.0,4.0,3.93,10.31,4.0,4.0,388.0,42.6,6.04
ABI2,18.74,17.0,5.0,7.0,17.0,70.92,18.74,7.0,8.0,11.51,18.74,7.0,9.0,475.0,52.4,6.01
ABLIM1,25.19,13.0,11.0,11.0,35.0,275.84,25.19,11.0,17.0,22.2,25.19,11.0,18.0,655.0,73.2,7.78
ABLIM2,7.87,13.0,2.0,2.0,6.0,31.62,7.87,2.0,3.0,2.07,7.87,2.0,3.0,470.0,51.7,7.28
ACACA,3.79,8.0,6.0,6.0,12.0,81.08,3.79,6.0,7.0,6.28,2.6,4.0,5.0,2268.0,257.1,6.61
ACADS,4.66,2.0,1.0,1.0,2.0,0.0,4.66,1.0,1.0,0.0,4.66,1.0,1.0,408.0,44.0,8.35
ACAT1,8.9,3.0,3.0,3.0,7.0,76.69,8.9,3.0,4.0,2.72,7.03,2.0,3.0,427.0,45.2,8.85
ACAT2,28.72,2.0,5.0,5.0,12.0,72.45,20.65,4.0,6.0,4.5,24.69,4.0,6.0,397.0,41.3,6.92
ACIN1,3.09,6.0,1.0,1.0,1.0,,,,,2.03,3.09,1.0,1.0,582.0,67.5,7.59
ACLY,6.6,3.0,5.0,5.0,14.0,113.01,6.6,5.0,7.0,8.73,6.6,5.0,7.0,1091.0,119.7,7.33
ACO2,3.59,2.0,2.0,2.0,7.0,90.11,1.92,1.0,3.0,6.79,3.59,2.0,4.0,780.0,85.4,7.61
ACOX1,3.86,3.0,1.0,1.0,1.0,,,,,0.0,3.86,1.0,1.0,622.0,70.1,7.61
