NGN2-Converted hiPSC Neurons Synapse Proteomics Screen,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Gene Symbol,Accession,Description,ΣCoverage,Σ# Proteins,Σ# Unique Peptides,Σ# Peptides,Σ# PSMs,Score A2,Coverage A2,# Peptides A2,# PSM A2,Score A4,Coverage A4,# Peptides A4,# PSM A4,# AAs,MW [kDa],calc. pI,,,,,,,,
ACTB,P60709,"Actin, cytoplasmic 1 OS=Homo sapiens GN=ACTB PE=1 SV=1 - [ACTB_HUMAN]",74.4,15,16,40,2040,32237.31,74.4,38,1019,3604.15,74.4,39,1021,375,41.7,5.48,,,,,,,,
INA,Q16352,Alpha-internexin OS=Homo sapiens GN=INA PE=1 SV=2 - [AINX_HUMAN],72.34,1,50,58,1883,37570.73,72.34,57,934,3168,71.74,57,949,499,55.4,5.4,,,,,,,,
DYNC1H1,Q14204,Cytoplasmic dynein 1 heavy chain 1 OS=Homo sapiens GN=DYNC1H1 PE=1 SV=5 - [DYHC1_HUMAN],56.37,9,296,296,1865,17932.97,54.78,282,914,2612.93,55.98,289,951,4646,532.1,6.4,,,,,,,,
TUBA1A,Q71U36-2,Isoform 2 of Tubulin alpha-1A chain OS=Homo sapiens GN=TUBA1A - [TBA1A_HUMAN],81.73,16,1,39,1807,26717.07,81.73,37,890,2857.76,81.73,39,917,416,46.3,5.08,,,,,,,,
NEFM,E7ESP9,Neurofilament medium polypeptide OS=Homo sapiens GN=NEFM PE=2 SV=1 - [E7ESP9_HUMAN],80.96,4,92,99,1680,18954.93,79.59,94,824,2759.35,78.79,96,856,877,98.3,4.86,,,,,,,,
TUBB2B,Q9BVA1,Tubulin beta-2B chain OS=Homo sapiens GN=TUBB2B PE=1 SV=1 - [TBB2B_HUMAN],77.75,3,2,44,1562,18577.26,77.75,44,766,2571.22,77.75,43,796,445,49.9,4.89,,,,,,,,
TUBB2A,Q13885,Tubulin beta-2A chain OS=Homo sapiens GN=TUBB2A PE=1 SV=1 - [TBB2A_HUMAN],77.75,3,2,44,1553,18440.77,77.75,44,761,2558.96,77.75,43,792,445,49.9,4.89,,,,,,,,
PRPH,P41219-2,Isoform 2 of Peripherin OS=Homo sapiens GN=PRPH - [PERI_HUMAN],92.14,9,2,73,1532,20762.87,92.14,73,759,2312.38,92.14,73,773,471,53.7,5.47,,,,,,,,
PRPH,P41219,Peripherin OS=Homo sapiens GN=PRPH PE=1 SV=2 - [PERI_HUMAN],92.13,8,1,72,1526,20781.87,92.13,72,756,2306.65,92.13,72,770,470,53.6,5.47,,,,,,,,
TUBB,P07437,Tubulin beta chain OS=Homo sapiens GN=TUBB PE=1 SV=2 - [TBB5_HUMAN],77.03,8,5,43,1513,17708.96,77.03,43,745,2468.62,77.03,42,768,444,49.6,4.89,,,,,,,,
