Fetal Human Brain Synapse Proteomics Screen,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Gene Symbol,Accession,Description,ΣCoverage,Σ# Proteins,Σ# Unique Peptides,Σ# Peptides,Σ# PSMs,Score A2,Coverage A2,# Peptides A2,# PSM A2,Score A4,Coverage A4,# Peptides A4,# PSM A4,# AAs,MW [kDa],calc. pI,,,,,,,,
TUBB2B,Q9BVA1,Tubulin beta-2B chain OS=Homo sapiens GN=TUBB2B PE=1 SV=1 - [TBB2B_HUMAN],77.08,3,2,40,2053,26514.08,77.08,38,1031,2581.19,77.08,38,1022,445,49.9,4.89,,,,,,,,
TUBB2A,Q13885,Tubulin beta-2A chain OS=Homo sapiens GN=TUBB2A PE=1 SV=1 - [TBB2A_HUMAN],77.08,3,2,40,2052,26401.68,77.08,38,1030,2578.55,77.08,38,1022,445,49.9,4.89,,,,,,,,
TUBB,P07437,Tubulin beta chain OS=Homo sapiens GN=TUBB PE=1 SV=2 - [TBB5_HUMAN],77.25,11,6,39,1892,24026.85,77.25,38,959,2402.05,77.25,37,933,444,49.6,4.89,,,,,,,,
TUBB4B,P68371,Tubulin beta-4B chain OS=Homo sapiens GN=TUBB4B PE=1 SV=1 - [TBB4B_HUMAN],71.01,9,2,38,1828,23309.88,71.01,37,929,2329.09,71.01,36,899,445,49.8,4.89,,,,,,,,
TUBB3,Q13509,Tubulin beta-3 chain OS=Homo sapiens GN=TUBB3 PE=1 SV=2 - [TBB3_HUMAN],74.44,12,15,32,1403,19059.39,74.44,32,713,1742.31,74.44,31,690,450,50.4,4.93,,,,,,,,
TUBB4A,P04350,Tubulin beta-4A chain OS=Homo sapiens GN=TUBB4A PE=1 SV=2 - [TBB4A_HUMAN],70.27,14,8,36,1377,17668.49,70.27,35,697,1753.98,70.27,34,680,444,49.6,4.88,,,,,,,,
TUBA1A,Q71U36-2,Isoform 2 of Tubulin alpha-1A chain OS=Homo sapiens GN=TUBA1A - [TBA1A_HUMAN],72.12,16,14,34,1216,17127.3,72.12,34,608,1565.21,72.12,34,608,416,46.3,5.08,,,,,,,,
ACTB,P60709,"Actin, cytoplasmic 1 OS=Homo sapiens GN=ACTB PE=1 SV=1 - [ACTB_HUMAN]",73.6,17,11,31,1198,13613.86,73.6,31,612,1401.82,73.6,30,586,375,41.7,5.48,,,,,,,,
MAP1B,P46821,Microtubule-associated protein 1B OS=Homo sapiens GN=MAP1B PE=1 SV=2 - [MAP1B_HUMAN],56.36,5,110,112,1064,13015.98,54.25,108,529,1245.72,56.32,109,535,2468,270.5,4.81,,,,,,,,
VIM,P08670,Vimentin OS=Homo sapiens GN=VIM PE=1 SV=4 - [VIME_HUMAN],77.25,4,52,61,984,10453.84,76.18,60,481,1110.19,77.25,60,503,466,53.6,5.12,,,,,,,,
SPTAN1,Q13813-2,"Isoform 2 of Spectrin alpha chain, non-erythrocytic 1 OS=Homo sapiens GN=SPTAN1 - [SPTN1_HUMAN]",62.25,4,167,167,955,9846.8,60.6,162,482,880.31,60.48,156,473,2477,284.9,5.35,,,,,,,,
SPTBN1,Q01082,"Spectrin beta chain, non-erythrocytic 1 OS=Homo sapiens GN=SPTBN1 PE=1 SV=2 - [SPTB2_HUMAN]",58.71,12,122,135,904,7897.18,57.36,132,448,810.34,57.99,131,456,2364,274.4,5.57,,,,,,,,
