,genes,Synonym,avg_scores,syngo,syndb,synsysnet,cortex,striatum,fetal,ngn2,Lit Sum,Exp Sum,All Sum,SynSig,Synapse_Status,Synapse Percentile,training positive examples,name,Receptor_Channel,Kinase_Phosphatase,Ubiquitin_E3,Vesicle_Transporters,GTP_ATP Regulators,Nucleic Acid Binding,Translation,Membrane_Cell Adhesion,Other Regulators,Scaffolds_Adaptors,Cytoskeletal,Calcium Ion Binding,Other Enzymes,Other protein binders,unknown functions,Function Total,MF Terms,HGNC Accession
0,A1CF,"['APOBEC1CF', 'ACF', 'ACF64', 'ACF65', 'ASP']",4.0023104728632335,0,0,0,0,0,0,0,0,0,0,no,no,43.955282944202615,no,APOBEC1 complementation factor ,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,"['single-stranded RNA binding', 'mRNA binding', 'protein binding']",HGNC:24086
1,A2M,"['S863-7', 'FWP007', 'CPAMD5']",Training Gene,0,0,0,0,0,0,0,0,0,0,yes,no,Training Gene,no,alpha-2-macroglobulin ,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,"['signaling receptor binding', 'calcium-dependent protein binding', 'protease binding', 'interleukin-8 binding', 'tumor necrosis factor binding', 'interleukin-1 binding', 'serine-type endopeptidase inhibitor activity']",HGNC:7
2,A4GALT,"['A14GALT', 'P1', 'P(k)', 'Gb3S']",3.8123790769653767,0,0,0,0,0,0,0,0,0,0,no,no,18.104471705579734,no,"alpha 1,4-galactosyltransferase (P blood group) ",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,"['toxic substance binding', 'lactosylceramide 4-alpha-galactosyltransferase activity']",HGNC:18149
3,AAAS,[nan],Training Gene,0,0,0,0,0,0,0,0,0,0,yes,no,Training Gene,no,aladin WD repeat nucleoporin ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,['protein binding'],HGNC:13666
4,AACS,"['SUR-5', 'ACSF1', 'FLJ12389']",3.934411784413799,0,0,0,0,0,0,1,0,1,1,no,no,34.48753462603878,no,acetoacetyl-CoA synthetase ,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,"['acetoacetate-CoA ligase activity', 'butyrate-CoA ligase activity', 'ATP binding', 'protein binding']",HGNC:21298
5,AADAC,"['CES5A1', 'DAC']",3.525440052771628,0,0,0,0,0,0,0,0,0,0,no,no,2.146814404432133,no,arylacetamide deacetylase ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,"['serine hydrolase activity', 'triglyceride lipase activity', 'deacetylase activity', 'protein binding']",HGNC:17
6,AADAT,"['KYAT2', 'KAT2', 'KATII']",3.6623250544882033,0,0,0,0,0,0,0,0,0,0,no,no,6.440443213296399,no,aminoadipate aminotransferase ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,"['protein homodimerization activity', '2-aminoadipate transaminase activity', 'kynurenine-oxoglutarate transaminase activity', 'pyridoxal phosphate binding']",HGNC:17929
7,AAGAB,"['FLJ11506', 'p34']",4.317117695220839,0,0,0,0,0,0,1,0,1,1,no,no,79.5211713494262,no,alpha and gamma adaptin binding protein ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,['protein binding'],HGNC:25662
8,AAK1,"['KIAA1048', 'DKFZp686K16132']",Training Gene,1,1,1,1,1,1,1,3,4,7,yes,known,Training Gene,yes,AP2 associated kinase 1 ,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,"['AP-2 adaptor complex binding', 'protein threonine kinase activity', 'protein serine kinase activity', 'Notch binding', 'ATP binding']",HGNC:19679
9,AAMDC,"['C11orf67', 'FLJ21035', 'PTD015', 'CK067']",3.976796928016832,0,0,0,0,0,0,0,0,0,0,no,no,40.67075583696082,no,adipogenesis associated Mth938 domain containing ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,['protein binding'],HGNC:30205
10,AAMP,[nan],4.209781482598761,0,0,0,0,0,0,0,0,0,0,no,no,70.5975464978235,no,angio associated migratory cell protein ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,"['heparin binding', 'protein binding']",HGNC:18
11,AAR2,"['C20orf4', 'bA234K24.2']",3.8876368106982766,0,0,0,0,0,0,0,0,0,0,no,no,27.789869410368034,no,AAR2 splicing factor ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,None,HGNC:15886
12,AARS2,"['bA444E17.1', 'KIAA1270', 'AARSL']",4.0119557528937815,0,0,0,0,0,0,1,0,1,1,no,no,45.40957657301148,no,"alanyl-tRNA synthetase 2, mitochondrial ",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,"['aminoacyl-tRNA editing activity', 'zinc ion binding', 'alanine-tRNA ligase activity', 'protein binding', 'tRNA binding', 'amino acid binding', 'ATP binding']",HGNC:21022
13,AARSD1,"['MGC2744', 'AlaXp']",4.161182246267089,0,0,0,1,0,0,1,0,2,2,no,no,65.89829837752275,no,alanyl-tRNA synthetase domain containing 1 ,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,"['metal ion binding', 'alanine-tRNA ligase activity', 'Ser-tRNA(Ala) hydrolase activity', 'nucleic acid binding', 'ATP binding']",HGNC:28417
